# 2018-06-27 10:13:23.098000 : Beginning an experiment with subject number 106
# 2018-06-27 10:14:00.150000 : First practice screen shown at time 39084
# 2018-06-27 10:14:16.424000 : Touch tracking instructions at time 55358
# 2018-06-27 10:15:37.771000 : Second practice trial at time 136705
# 2018-06-27 10:16:17.779000 : Third practice trial at time 176713
# 2018-06-27 10:17:59> starting trial 0 with item-cond 23-a
# 2018-06-27 10:18:02.366000> starting sentence audio 0 with item-cond 23-a
# 2018-06-27 10:18:02.377000 : Third practice trial at time 281312
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"54552","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","277946","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","a","23","undefined","779","606","yes","06/27/18 10:13:21","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[281295, 281300, 281523, 281746, 281985, 282225, 282458, 282693, 282932, 283139, 283346, 283553, 283765, 284006, 284244, 284480, 284719, 284956, 285185, 285391, 285598, 285805, 286019, 286248, 286484, 286715, 286959, 287198, 287412, 287624, 287836, 288054, 288297, 288537, 288778, 289030, 289252, 289466, 289687, 289903, 290129, 290375, 290627, 290877, 291130, 291358, 291573, 291786, 292000, 292225, 292473, 292725, 292976, 293230, 293458, 293671, 293880, 294087, 294304, 294545, 294792, 295036, 295281, 295496, 295704, 295912, 296119, 296333, 296563, 296799, 297044, 297293, 297520, 297733, 297945, 298157, 298377, 298609, 298851, 299093, 299336, 299578, 299791, 300002, 300214, 300433, 300669, 300911, 301148, 301395, 301613, 301821, 302029, 302237, 302454, 302696, 302940, 303182, 303429, 303668, 303879, 304090, 304302, 304521, 304763, 305010, 305254, 305497, 305734, 305942, 306151, 306360, 306577, 306817, 307053, 307288, 307531, 307772, 307979, 308187, 308395, 308610, 308845, 309090, 309337, 309591, 309815, 310029, 310244, 310459, 310683, 310931, 311184, 311434, 311689, 311914, 312129, 312338, 312550, 312770, 313014, 313272, 313533, 313789, 314005, 314220, 314433, 314644, 314871, 315121, 315366, 315618, 315862, 316078, 316290, 316502, 316729, 316979, 317229, 317480, 317726, 317938, 318150, 318361, 318582, 318830, 319074, 319321, 319570, 319785, 319997, 320209, 320434, 320685, 320933, 321191, 321435, 321645, 321855, 322063, 322285, 322533, 322783, 323035, 323278, 323493, 323707, 323922, 324149, 324396, 324636, 324895, 325138, 325353, 325562, 325770, 325992, 326241, 326493, 326746, 326986, 327201, 327416, 327631, 327853, 328100, 328349, 328603, 328846, 329060, 329273, 329487, 329716, 329967, 330214, 330475, 330722, 330934, 331149, 331361, 331587, 331840, 332090, 332346, 332596, 332812, 333027, 333242, 333472, 333725, 333973, 334227, 334472, 334684, 334899, 335112, 335333, 335581, 335841]","0","NA","no","serif","no","18","no","white","no","no","1080","23","23","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-106.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(89, 501)","leaf","yes","no","no","0,0","0","1","1","NA","19020","19020","NA","2","legacy","1024","2","44100","-16","NA","experiment","106","even","droid","[9838.0, 10065.0, 10280.0, 10493.0, 10708.0, 10932.0, 11180.0, 11432.0, 11684.0, 11938.0, 12165.0, 28524.0, 28736.0, 28951.0, 29166.0, 29391.0, 29639.0, 29892.0, 30141.0, 30396.0, 30622.0, 30836.0, 31045.0, 31259.0, 31477.0, 31721.0, 31980.0, 32241.0]","230610","276935","277935","NA","276498","NA","NA","NA","NA","NA","2492","38547","39078","55342","39078","136488","2472","NA","176442","281290","276934","21517","2471","336091","BTA (Zapotec RC script)","0","0","0","no","281295","no","1920","[938, 908, 853, 785, 736, 717, 700, 692, 684, 673, 668, 651, 634, 609, 584, 543, 495, 433, 379, 327, 293, 266, 236, 205, 168, 122, 89, 56]","[943, 891, 805, 716, 648, 618, 581, 559, 538, 509, 479, 464, 454, 432, 404, 371, 336, 291, 257, 223, 201, 182, 165, 150, 144, 138, 137, 138]"
# 2018-06-27 10:18:58.709000> starting trial 1 with item-cond 2-d
# 2018-06-27 10:19:01.157000> starting sentence audio 1 with item-cond 2-d
# 2018-06-27 10:19:01.168000 : Third practice trial at time 340102
"46375","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","337661","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","d","2","undefined","779","606","yes","06/27/18 10:13:21","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[340086, 340091, 340319, 340560, 340798, 341050, 341300, 341550, 341801, 342020, 342238, 342457, 342685, 342930, 343181, 343423, 343678, 343930, 344149, 344369, 344582, 344808, 345053, 345300, 345540, 345793, 346043, 346263, 346483, 346703, 346938, 347184, 347435, 347688, 347942, 348174, 348390, 348606, 348823, 349053, 349304, 349558, 349812, 350063, 350290, 350509, 350728, 350946, 351176, 351415, 351662, 351920, 352175, 352405, 352620, 352836, 353050, 353275, 353524, 353771, 354024, 354280, 354506, 354723, 354939, 355162, 355423, 355678, 355935, 356202, 356466, 356685, 356906, 357127, 357355, 357613, 357871, 358129, 358390, 358640, 358855, 359071, 359286, 359515, 359761, 360005, 360255, 360499, 360725, 360946, 361163, 361383, 361625, 361871, 362123, 362379, 362633, 362857, 363076, 363295, 363514, 363749, 363996, 364249, 364501, 364754, 364975, 365191, 365406, 365623, 365869, 366116, 366370, 366624, 366880, 367114, 367336, 367555, 367775, 368032, 368291, 368548, 368812, 369071, 369293, 369515, 369737, 369980, 370236, 370504, 370770, 371032, 371250, 371469, 371692, 371914, 372164, 372422, 372676, 372942, 373195, 373417, 373639, 373863, 374107, 374369, 374632, 374893, 375130, 375354, 375577, 375796, 376034, 376291, 376548, 376808, 377059, 377278, 377499, 377721, 377960, 378222, 378480, 378745, 378994, 379218, 379441, 379664, 379908, 380162, 380408, 380671, 380927, 381151, 381370, 381589, 381829, 382080, 382338, 382604, 382853, 383070, 383292, 383514, 383756, 384012, 384274, 384539, 384795, 385014, 385232, 385455, 385690, 385943, 386196, 386457]","0","NA","no","serif","no","18","no","white","no","no","1080","2","2","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-106.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1802, 539)","tortilla","yes","no","no","0,0","0","1","1","NA","19020","19020","NA","2","legacy","1024","2","44100","-16","NA","experiment","106","even","droid","[15339.0, 16119.0, 16382.0, 16601.0, 16822.0, 17043.0, 17271.0, 17530.0, 17787.0, 18046.0, 27031.0, 27253.0, 27471.0, 27693.0, 27948.0, 28207.0, 28464.0, 28728.0, 28987.0, 29209.0, 29431.0, 29653.0, 29896.0, 30152.0, 30421.0]","230610","336644","337644","NA","276498","NA","NA","NA","NA","NA","2492","38547","39078","55342","39078","136488","2472","NA","176442","340079","336643","21517","2471","386703","BTA (Zapotec RC script)","0","0","0","no","340086","no","1920","[964, 978, 1019, 1080, 1155, 1224, 1290, 1338, 1365, 1382, 1422, 1445, 1472, 1506, 1565, 1617, 1653, 1696, 1733, 1749, 1763, 1779, 1793, 1801, 1813]","[954, 923, 896, 849, 785, 718, 676, 635, 620, 599, 587, 566, 536, 510, 461, 404, 369, 315, 263, 232, 201, 165, 136, 118, 103]"
# 2018-06-27 10:19:49.218000> starting trial 2 with item-cond 24-b
# 2018-06-27 10:19:54.518000> starting sentence audio 2 with item-cond 24-b
# 2018-06-27 10:19:54.528000 : Third practice trial at time 393462
"29167","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","388172","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","b","24","undefined","779","606","yes","06/27/18 10:13:21","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[393447, 393452, 393689, 393912, 394142, 394390, 394644, 394889, 395142, 395396, 395628, 395848, 396071, 396299, 396549, 396799, 397040, 397289, 397544, 397783, 398001, 398222, 398445, 398677, 398922, 399165, 399414, 399671, 399929, 400152, 400375, 400597, 400838, 401095, 401355, 401604, 401866, 402115, 402341, 402568, 402795, 403048, 403308, 403584, 403834, 404060, 404288, 404515, 404752, 405011, 405270, 405528, 405786, 406033, 406253, 406473, 406694, 406931, 407189, 407448, 407706, 407961, 408195, 408419, 408643, 408862, 409097, 409348, 409606, 409864, 410121, 410369, 410589, 410808, 411027, 411264, 411523, 411795, 412060, 412330, 412564, 412791, 413018, 413247, 413497, 413756, 414022, 414290, 414557, 414781, 415003, 415226, 415448, 415689, 415953, 416204, 416476, 416723, 416946, 417172, 417399, 417644, 417896, 418152, 418419, 418669, 418896, 419124, 419351, 419598, 419861, 420127, 420395, 420636, 420862, 421089, 421316, 421560, 421814, 422076, 422345, 422609]","0","NA","no","serif","no","18","no","white","no","no","1080","24","24","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-106.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1795, 494)","flower","yes","no","no","0,0","0","1","1","NA","19020","19020","NA","2","legacy","1024","2","44100","-16","NA","experiment","106","even","droid","[8670.0, 8898.0, 9123.0, 9352.0, 9603.0, 9865.0, 10139.0, 10389.0, 10616.0, 10843.0, 11070.0, 11307.0, 18350.0, 18615.0, 18885.0, 19119.0, 19346.0, 19574.0, 19802.0, 20053.0, 20311.0, 20577.0, 20845.0]","230610","387153","388153","NA","276498","NA","NA","NA","NA","NA","2492","38547","39078","55342","39078","136488","2472","NA","176442","393441","387152","21517","2471","422832","BTA (Zapotec RC script)","0","0","0","no","393447","no","1920","[1022, 1071, 998, 1033, 1170, 1312, 1429, 1497, 1526, 1554, 1570, 1582, 1591, 1627, 1671, 1710, 1741, 1770, 1795, 1816, 1834, 1844, 1850]","[957, 927, 922, 933, 902, 821, 739, 689, 641, 596, 582, 547, 530, 479, 432, 381, 340, 290, 230, 180, 151, 116, 95]"
# 2018-06-27 10:20:25.408000> starting trial 3 with item-cond 20-f
