# 2018-07-11 16:58:09.486000 : Beginning an experiment with subject number 149
# 2018-07-11 17:00:34.421000 : First practice screen shown at time 146685
# 2018-07-11 17:00:50.717000 : Touch tracking instructions at time 162981
# 2018-07-11 17:01:37.941000 : Second practice trial at time 210205
# 2018-07-11 17:01:59.610000 : Third practice trial at time 231874
# 2018-07-11 17:03:41.795000> starting trial 0 with item-cond 10-g
# 2018-07-11 17:03:45.767000> starting sentence audio 0 with item-cond 10-g
# 2018-07-11 17:03:45.779000 : Third practice trial at time 338043
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"31885","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","334070","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","g","10","undefined","879","710","yes","07/11/18 16:58:07","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[338025, 338030, 338262, 338477, 338725, 338969, 339213, 339462, 339701, 339920, 340139, 340358, 340577, 340808, 341049, 341301, 341545, 341799, 342018, 342237, 342456, 342675, 342900, 343136, 343385, 343628, 343881, 344103, 344323, 344541, 344755, 344977, 345227, 345491, 345754, 346013, 346238, 346460, 346682, 346905, 347141, 347398, 347646, 347906, 348129, 348353, 348576, 348800, 349033, 349291, 349545, 349810, 350033, 350256, 350474, 350691, 350926, 351181, 351434, 351695, 351911, 352128, 352348, 352561, 352796, 353039, 353295, 353560, 353773, 353999, 354222, 354441, 354664, 354910, 355158, 355414, 355631, 355849, 356067, 356290, 356530, 356795, 357060, 357329, 357555, 357780, 358003, 358229, 358474, 358741, 358994, 359244, 359473, 359694, 359914, 360135, 360364, 360612, 360865, 361120, 361380, 361603, 361829, 362050, 362271, 362503, 362756, 363007, 363258, 363509, 363725, 363940, 364155, 364370, 364596, 364855, 365112, 365374, 365630, 365852, 366074, 366300, 366525, 366769, 367030, 367292, 367562, 367797, 368019, 368237, 368454, 368685, 368942, 369198, 369459, 369681, 369905]","0","NA","no","serif","no","18","no","white","no","no","1080","10","10","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-149.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1814, 440)","tortilla","yes","no","no","0,0","0","1","1","NA","126944","126944","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[7468.0, 7731.0, 7990.0, 8215.0, 8437.0, 8661.0, 8883.0, 9118.0, 20452.0, 27089.0, 27351.0, 27607.0, 27829.0, 28051.0, 28277.0, 28502.0, 28747.0, 29007.0, 29270.0, 29539.0]","289357","333059","334059","NA","332478","NA","NA","NA","NA","NA","2197","146179","146680","162950","146680","209989","2177","NA","231655","338020","333059","129145","2176","370121","BTA (Zapotec RC script)","0","0","0","no","338025","no","1920","[1150, 1362, 1563, 1705, 1770, 1822, 1856, 1848, 1806, 1790, 1782, 1777, 1782, 1784, 1794, 1799, 1807, 1811, 1811, 1811]","[782, 561, 382, 270, 223, 169, 124, 96, 362, 219, 183, 156, 141, 130, 125, 123, 123, 119, 118, 118]"
# 2018-07-11 17:04:19.581000> starting trial 1 with item-cond 8-e
# 2018-07-11 17:04:22.807000> starting sentence audio 1 with item-cond 8-e
# 2018-07-11 17:04:22.819000 : Third practice trial at time 375083
"34809","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","371853","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","e","8","undefined","879","710","yes","07/11/18 16:58:07","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[375066, 375071, 375284, 375494, 375707, 375917, 376134, 376357, 376572, 376769, 376966, 377162, 377358, 377554, 377762, 377977, 378193, 378408, 378618, 378836, 379035, 379232, 379426, 379618, 379810, 380024, 380243, 380463, 380678, 380894, 381112, 381318, 381511, 381705, 381899, 382093, 382294, 382506, 382727, 382945, 383168, 383381, 383576, 383770, 383964, 384158, 384351, 384565, 384782, 385003, 385220, 385442, 385639, 385836, 386033, 386230, 386427, 386637, 386851, 387065, 387285, 387515, 387712, 387906, 388100, 388292, 388489, 388713, 388935, 389153, 389375, 389604, 389802, 390000, 390198, 390392, 390585, 390796, 391011, 391229, 391448, 391672, 391873, 392070, 392267, 392466, 392670, 392887, 393113, 393339, 393560, 393786, 393984, 394184, 394385, 394583, 394782, 395002, 395226, 395447, 395671, 395907, 396108, 396305, 396502, 396700, 396898, 397118, 397345, 397569, 397794, 398023, 398223, 398422, 398622, 398821, 399021, 399242, 399468, 399688, 399921, 400115, 400315, 400514, 400714, 400914, 401138, 401361, 401582, 401807, 402022, 402219, 402416, 402612, 402809, 403008, 403231, 403459, 403687, 403919, 404137, 404338, 404537, 404737, 404938, 405148, 405377, 405607, 405841, 406054, 406252, 406447, 406642, 406837, 407032, 407251, 407474, 407698, 407926, 408149, 408349, 408553, 408755, 408955, 409167, 409398, 409634, 409873]","0","NA","no","serif","no","18","no","white","no","no","1080","8","8","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-149.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(110, 423)","flower","yes","no","no","0,0","0","1","1","NA","126944","126944","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[17606.0, 17824.0, 18049.0, 19321.0, 19519.0, 19719.0, 22281.0]","289357","370845","371845","NA","332478","NA","NA","NA","NA","NA","2197","146179","146680","162950","146680","209989","2177","NA","231655","375061","370844","129145","2176","410094","BTA (Zapotec RC script)","0","0","0","no","375066","no","1920","[856, 727, 588, 310, 226, 193, 85]","[861, 770, 644, 372, 262, 207, 107]"
# 2018-07-11 17:04:59.346000> starting trial 2 with item-cond 2-g
# 2018-07-11 17:05:01.818000> starting sentence audio 2 with item-cond 2-g
# 2018-07-11 17:05:01.829000 : Third practice trial at time 414093
"18602","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","411629","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","g","2","undefined","879","710","yes","07/11/18 16:58:07","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[414076, 414082, 414309, 414542, 414787, 415035, 415280, 415534, 415754, 415972, 416191, 416406, 416626, 416872, 417120, 417367, 417619, 417839, 418054, 418272, 418491, 418716, 418963, 419212, 419460, 419714, 419951, 420170, 420388, 420607, 420827, 421070, 421318, 421567, 421826, 422071, 422294, 422515, 422737, 422959, 423213, 423469, 423728, 423993, 424239, 424462, 424685, 424909, 425131, 425384, 425637, 425891, 426148, 426365, 426582, 426798, 427014, 427241, 427494, 427751, 428018, 428239, 428457, 428674, 428891, 429118, 429361, 429616, 429876, 430097, 430318, 430541, 430763, 430996, 431254, 431517, 431780, 432003, 432223, 432445, 432674]","0","NA","no","serif","no","18","no","white","no","no","1080","2","2","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-149.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(126, 439)","tortilla","yes","no","no","0,0","0","1","1","NA","126944","126944","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[8220.0, 8441.0, 8663.0, 8885.0, 9139.0, 9395.0, 9655.0, 9919.0, 10166.0, 10388.0, 10611.0]","289357","410610","411610","NA","332478","NA","NA","NA","NA","NA","2197","146179","146680","162950","146680","209989","2177","NA","231655","414071","410609","129145","2176","432896","BTA (Zapotec RC script)","0","0","0","no","414076","no","1920","[757, 613, 488, 375, 278, 213, 164, 130, 99, 87, 82]","[866, 779, 658, 543, 436, 321, 237, 169, 124, 111, 115]"
# 2018-07-11 17:05:22.405000> starting trial 3 with item-cond 16-e
# 2018-07-11 17:05:25.337000> starting sentence audio 3 with item-cond 16-e
# 2018-07-11 17:05:25.349000 : Third practice trial at time 437613
"20265","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","434679","relative","undefined","undefined","0","3","3","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","3","3","0","0","3","e","16","undefined","879","710","yes","07/11/18 16:58:07","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[437596, 437601, 437847, 438079, 438317, 438579, 438846, 439109, 439368, 439604, 439829, 440053, 440276, 440505, 440769, 441036, 441299, 441559, 441791, 442020, 442247, 442476, 442722, 442975, 443241, 443503, 443769, 444001, 444233, 444465, 444698, 444946, 445211, 445480, 445752, 445992, 446227, 446466, 446701, 446951, 447216, 447480, 447754, 448013, 448250, 448487, 448724, 448971, 449246, 449525, 449803, 450069, 450300, 450531, 450761, 451006, 451280, 451556, 451837, 452072, 452307, 452543, 452778, 453039, 453308, 453573, 453833, 454064, 454294, 454524, 454757, 455017, 455284, 455550, 455827, 456057, 456288, 456518, 456750, 457011, 457293, 457578, 457858]","0","NA","no","serif","no","18","no","white","no","no","1080","16","16","legacy","3","3","0","C:/Users/z.lab1/Desktop/Final/subject-149.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1817, 437)","flower","yes","no","no","0,0","0","1","1","NA","126944","126944","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[8872.0, 9108.0, 10656.0, 10893.0, 11130.0, 11377.0, 11653.0, 11931.0]","289357","433669","434669","NA","332478","NA","NA","NA","NA","NA","2197","146179","146680","162950","146680","209989","2177","NA","231655","437591","433668","129145","2176","458084","BTA (Zapotec RC script)","0","0","0","no","437596","no","1920","[1103, 1209, 1397, 1494, 1574, 1663, 1751, 1829]","[769, 629, 436, 353, 294, 234, 172, 113]"
# 2018-07-11 17:05:47.608000> starting trial 4 with item-cond 18-g
# 2018-07-11 17:05:50.389000> starting sentence audio 4 with item-cond 18-g
# 2018-07-11 17:05:50.400000 : Third practice trial at time 462664
"30013","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","459883","relative","undefined","undefined","0","4","4","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","4","4","0","0","4","g","18","undefined","879","710","yes","07/11/18 16:58:07","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[462647, 462652, 462886, 463104, 463331, 463573, 463813, 464054, 464305, 464532, 464747, 464962, 465176, 465391, 465641, 465886, 466127, 466366, 466614, 466827, 467041, 467255, 467468, 467686, 467931, 468181, 468432, 468686, 468921, 469139, 469353, 469569, 469784, 470027, 470280, 470528, 470785, 471026, 471240, 471454, 471668, 471885, 472140, 472398, 472660, 472920, 473168, 473391, 473613, 473834, 474055, 474294, 474550, 474812, 475081, 475335, 475553, 475771, 475989, 476206, 476455, 476717, 476972, 477228, 477450, 477672, 477895, 478114, 478345, 478602, 478861, 479129, 479360, 479586, 479809, 480030, 480257, 480512, 480767, 481016, 481275, 481491, 481705, 481925, 482144, 482373, 482619, 482870, 483109, 483354, 483574, 483793, 484012, 484231, 484465, 484720, 484981, 485241, 485497, 485720, 485943, 486165, 486389, 486630, 486892, 487159, 487431, 487658, 487873, 488086, 488299, 488534, 488798, 489064, 489327, 489559, 489782, 490005, 490226, 490463, 490727, 490996, 491270, 491493, 491715, 491936, 492158, 492393, 492655]","0","NA","no","serif","no","18","no","white","no","no","1080","18","18","legacy","4","4","0","C:/Users/z.lab1/Desktop/Final/subject-149.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(64, 513)","tortilla","yes","no","no","0,0","0","1","1","NA","126944","126944","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[9754.0, 10015.0, 10275.0, 10523.0, 10746.0, 10968.0, 11189.0, 11410.0, 11649.0, 11906.0, 12168.0, 12436.0, 16715.0, 16941.0, 17165.0, 22336.0, 22597.0, 22853.0, 23076.0, 23298.0, 23520.0, 23745.0, 23985.0, 24248.0]","289357","458872","459872","NA","332478","NA","NA","NA","NA","NA","2197","146179","146680","162950","146680","209989","2177","NA","231655","462641","458869","129145","2176","492908","BTA (Zapotec RC script)","0","0","0","no","462647","no","1920","[877, 807, 739, 642, 560, 493, 411, 305, 220, 120, 92, 86, 109, 107, 104, 126, 125, 115, 106, 85, 94, 102, 106, 107]","[705, 604, 503, 417, 356, 303, 248, 206, 146, 96, 84, 83, 302, 417, 510, 344, 303, 275, 235, 140, 138, 139, 134, 130]"
# 2018-07-11 17:06:22.198000> starting trial 5 with item-cond 19-h
# 2018-07-11 17:06:24.847000> starting sentence audio 5 with item-cond 19-h
# 2018-07-11 17:06:24.856000 : Third practice trial at time 497120
"44045","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","494481","relative","undefined","undefined","0","5","5","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","5","5","0","0","5","h","19","undefined","879","710","yes","07/11/18 16:58:07","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[497106, 497111, 497341, 497587, 497828, 498073, 498318, 498555, 498773, 498994, 499212, 499430, 499653, 499897, 500133, 500378, 500629, 500868, 501085, 501303, 501521, 501738, 501962, 502197, 502443, 502678, 502929, 503159, 503373, 503589, 503805, 504021, 504266, 504518, 504769, 505022, 505250, 505469, 505689, 505913, 506143, 506401, 506662, 506923, 507183, 507403, 507623, 507842, 508061, 508296, 508556, 508820, 509084, 509325, 509547, 509768, 509990, 510211, 510447, 510701, 510960, 511224, 511446, 511669, 511891, 512113, 512347, 512597, 512857, 513121, 513352, 513569, 513786, 514003, 514232, 514488, 514747, 515014, 515235, 515454, 515677, 515902, 516143, 516393, 516645, 516898, 517153, 517367, 517581, 517795, 518010, 518238, 518487, 518740, 518980, 519234, 519453, 519673, 519892, 520112, 520340, 520588, 520847, 521104, 521364, 521584, 521801, 522017, 522234, 522463, 522718, 522977, 523237, 523458, 523675, 523892, 524109, 524344, 524596, 524848, 525110, 525337, 525554, 525774, 525995, 526232, 526493, 526760, 527032, 527263, 527485, 527706, 527925, 528154, 528399, 528637, 528880, 529127, 529344, 529560, 529776, 529991, 530216, 530465, 530717, 530972, 531221, 531441, 531661, 531880, 532102, 532337, 532584, 532840, 533094, 533347, 533569, 533789, 534010, 534232, 534467, 534723, 534980, 535243, 535471, 535693, 535914, 536137, 536372, 536627, 536896, 537126, 537343, 537560, 537778, 538008, 538259, 538513, 538775, 539009, 539226, 539443, 539661, 539884, 540136, 540398, 540666, 540926, 541149]","0","NA","no","serif","no","18","no","white","no","no","1080","19","19","legacy","5","5","0","C:/Users/z.lab1/Desktop/Final/subject-149.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(107, 500)","leaf","yes","no","no","0,0","0","1","1","NA","126944","126944","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[9040.0, 9298.0, 9560.0, 9819.0, 10079.0, 10300.0, 10520.0, 10738.0, 10957.0, 11193.0, 18799.0, 19039.0, 19289.0, 19541.0, 23743.0, 24000.0, 24260.0, 29657.0, 29928.0, 30159.0, 35233.0, 35482.0]","289357","493462","494462","NA","332478","NA","NA","NA","NA","NA","2197","146179","146680","162950","146680","209989","2177","NA","231655","497101","493461","129145","2176","541360","BTA (Zapotec RC script)","0","0","0","no","497106","no","1920","[850, 717, 603, 489, 378, 291, 217, 160, 125, 93, 98, 93, 98, 98, 96, 96, 100, 114, 119, 124, 101, 101]","[866, 720, 593, 479, 394, 324, 251, 184, 136, 102, 305, 401, 470, 513, 139, 121, 119, 312, 451, 524, 193, 149]"
# 2018-07-11 17:07:10.876000> starting trial 6 with item-cond 9-f
# 2018-07-11 17:07:13.518000> starting sentence audio 6 with item-cond 9-f
# 2018-07-11 17:07:13.528000 : Third practice trial at time 545792
