# 2018-07-11 17:18:41.146000 : Beginning an experiment with subject number 149
# 2018-07-11 17:20:58.722000 : First practice screen shown at time 139762
# 2018-07-11 17:21:15 : Touch tracking instructions at time 156041
# 2018-07-11 17:22:20.599000 : Second practice trial at time 221640
# 2018-07-11 17:22:45.890000 : Third practice trial at time 246931
# 2018-07-11 17:24:03.839000> starting trial 0 with item-cond 19-h
# 2018-07-11 17:24:06.469000> starting sentence audio 0 with item-cond 19-h
# 2018-07-11 17:24:06.480000 : Third practice trial at time 327521
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"28485","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","324891","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","h","19","undefined","822","1016","yes","07/11/18 17:18:38","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[327504, 327509, 327739, 327957, 328175, 328411, 328655, 328902, 329151, 329400, 329614, 329828, 330042, 330257, 330476, 330719, 330965, 331209, 331449, 331693, 331911, 332129, 332347, 332564, 332787, 333021, 333262, 333505, 333746, 333991, 334205, 334420, 334634, 334848, 335074, 335318, 335569, 335824, 336070, 336285, 336499, 336718, 336942, 337174, 337428, 337681, 337930, 338183, 338397, 338615, 338834, 339053, 339282, 339520, 339772, 340031, 340287, 340503, 340724, 340952, 341173, 341408, 341672, 341929, 342190, 342407, 342624, 342843, 343060, 343287, 343538, 343789, 344052, 344272, 344499, 344721, 344942, 345173, 345427, 345680, 345931, 346151, 346372, 346593, 346814, 347046, 347295, 347553, 347822, 348050, 348268, 348488, 348709, 348944, 349198, 349443, 349705, 349922, 350139, 350358, 350575, 350808, 351063, 351316, 351577, 351795, 352011, 352227, 352443, 352674, 352931, 353183, 353442, 353664, 353885, 354107, 354329, 354560, 354810, 355060, 355319, 355540, 355762, 355983]","0","NA","no","serif","no","18","no","white","no","no","1080","19","19","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-150.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(145, 474)","leaf","yes","no","no","0,0","0","1","1","NA","119562","119562","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[9440.0, 9673.0, 13450.0]","289227","323880","324880","NA","323317","NA","NA","NA","NA","NA","2642","139256","139758","156033","139758","221427","2620","NA","246706","327499","323878","122207","2619","356201","BTA (Zapotec RC script)","0","0","0","no","327504","no","1920","[505, 128, 61]","[527, 162, 37]"
# 2018-07-11 17:24:36.659000> starting trial 1 with item-cond 8-e
# 2018-07-11 17:24:39.888000> starting sentence audio 1 with item-cond 8-e
# 2018-07-11 17:24:39.897000 : Third practice trial at time 360938
"8738","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","357709","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","e","8","undefined","822","1016","yes","07/11/18 17:18:38","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[360923, 360928, 361142, 361358, 361566, 361777, 361995, 362218, 362425, 362621, 362816, 363012, 363207, 363403, 363611, 363826, 364042, 364257, 364469, 364684, 364875, 365068, 365264, 365456, 365648, 365859, 366071, 366290, 366504, 366726, 366941, 367138, 367337, 367539, 367735, 367935, 368158, 368390, 368617, 368851, 369053, 369254, 369455, 369657]","0","NA","no","serif","no","18","no","white","no","no","1080","8","8","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-150.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1808, 503)","flower","yes","no","no","0,0","0","1","1","NA","119562","119562","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[6417.0, 6618.0, 6814.0, 7014.0]","289227","356699","357700","NA","323317","NA","NA","NA","NA","NA","2642","139256","139758","156033","139758","221427","2620","NA","246706","360918","356699","122207","2619","369850","BTA (Zapotec RC script)","0","0","0","no","360923","no","1920","[1241, 1587, 1756, 1853]","[768, 465, 233, 70]"
# 2018-07-11 17:24:50.390000> starting trial 2 with item-cond 18-g
# 2018-07-11 17:24:53.169000> starting sentence audio 2 with item-cond 18-g
# 2018-07-11 17:24:53.180000 : Third practice trial at time 374221
"22816","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","371440","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","g","18","undefined","822","1016","yes","07/11/18 17:18:38","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[374204, 374209, 374441, 374659, 374885, 375131, 375383, 375621, 375865, 376093, 376312, 376531, 376750, 376976, 377221, 377468, 377715, 377968, 378203, 378417, 378635, 378852, 379070, 379307, 379553, 379806, 380053, 380307, 380533, 380754, 380971, 381186, 381407, 381656, 381907, 382151, 382416, 382638, 382859, 383079, 383295, 383524, 383769, 384020, 384275, 384532, 384746, 384965, 385190, 385411, 385638, 385889, 386152, 386401, 386657, 386881, 387101, 387321, 387544, 387781, 388033, 388293, 388551, 388804, 389026, 389250, 389465, 389686, 389918, 390172, 390424, 390676, 390926, 391147, 391370, 391590, 391810, 392043, 392299, 392551, 392801, 393030, 393256, 393471, 393684, 393911, 394167, 394430, 394694, 394922, 395139, 395356, 395573, 395802, 396049, 396305, 396568, 396792, 397014]","0","NA","no","serif","no","18","no","white","no","no","1080","18","18","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-150.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1810, 512)","tortilla","yes","no","no","0,0","0","1","1","NA","119562","119562","NA","2","legacy","1024","2","44100","-16","NA","experiment","149","odd","droid","[8215.0, 8436.0, 17168.0]","289227","370431","371431","NA","323317","NA","NA","NA","NA","NA","2642","139256","139758","156033","139758","221427","2620","NA","246706","374198","370429","122207","2619","397231","BTA (Zapotec RC script)","0","0","0","no","374204","no","1920","[1411, 1781, 1887]","[599, 192, 25]"
# 2018-07-11 17:25:17.742000> starting trial 3 with item-cond 16-e
