# 2018-07-12 11:51:56.089000 : Beginning an experiment with subject number 162
# 2018-07-12 11:54:34.598000 : First practice screen shown at time 159789
# 2018-07-12 11:54:51.058000 : Touch tracking instructions at time 176249
# 2018-07-12 11:55:53.780000 : Second practice trial at time 238972
# 2018-07-12 11:56:16.191000 : Third practice trial at time 261382
# 2018-07-12 11:57:18.674000> starting trial 0 with item-cond 24-b
# 2018-07-12 11:57:23.952000> starting sentence audio 0 with item-cond 24-b
# 2018-07-12 11:57:23.964000 : Third practice trial at time 329155
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"12855","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","323876","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b","24","undefined","946","785","yes","07/12/18 11:51:54","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[329138, 329143, 329384, 329623, 329874, 330116, 330371, 330594, 330813, 331031, 331249, 331477, 331729, 331978, 332231, 332488, 332717, 332936, 333155, 333373, 333599, 333846, 334091, 334331, 334589, 334812, 335036, 335260, 335484, 335716, 335967, 336215, 336475, 336721, 336950, 337173, 337401, 337638, 337889, 338146, 338410, 338649, 338876, 339103, 339334, 339566, 339829, 340091, 340353, 340577, 340800, 341022, 341245, 341482, 341735, 341989]","0","NA","no","serif","no","18","no","white","no","no","1080","24","24","legacy","0","0","0","C:/Users/z.lab1/Desktop/Final/subject-162.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1791, 508)","flower","yes","no","no","0,0","0","1","1","NA","140482","140482","NA","2","legacy","1024","2","44100","-16","NA","experiment","162","even","droid","[7585.0, 7814.0, 8038.0, 8265.0, 8503.0, 8753.0, 9010.0, 9275.0, 9513.0, 9741.0, 9969.0, 10198.0, 10430.0, 10694.0]","284299","322865","323865","NA","322452","NA","NA","NA","NA","NA","1736","159261","159784","176241","159784","238761","1713","NA","261137","329133","322865","142222","1711","342245","BTA (Zapotec RC script)","0","0","0","no","329138","no","1920","[1078, 1170, 1238, 1359, 1543, 1713, 1758, 1761, 1771, 1777, 1792, 1807, 1815, 1816]","[961, 955, 959, 957, 922, 825, 725, 647, 543, 409, 226, 127, 100, 103]"
# 2018-07-12 11:57:38.767000> starting trial 1 with item-cond 9-c
# 2018-07-12 11:57:41.395000> starting sentence audio 1 with item-cond 9-c
# 2018-07-12 11:57:41.407000 : Third practice trial at time 346599
"61298","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","343967","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","c","9","undefined","946","785","yes","07/12/18 11:51:54","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[346576, 346586, 346826, 347042, 347260, 347477, 347690, 347933, 348171, 348408, 348643, 348885, 349101, 349319, 349537, 349754, 349977, 350220, 350462, 350708, 350950, 351194, 351412, 351631, 351844, 352061, 352285, 352524, 352760, 352996, 353244, 353484, 353703, 353922, 354142, 354362, 354588, 354829, 355077, 355323, 355574, 355790, 356011, 356227, 356447, 356675, 356916, 357157, 357395, 357645, 357865, 358084, 358303, 358518, 358746, 358991, 359234, 359476, 359724, 359945, 360161, 360381, 360601, 360828, 361073, 361322, 361562, 361810, 362027, 362243, 362459, 362671, 362892, 363130, 363371, 363610, 363862, 364081, 364305, 364524, 364744, 364972, 365223, 365473, 365714, 365960, 366182, 366401, 366622, 366841, 367067, 367311, 367552, 367791, 368040, 368257, 368473, 368689, 368904, 369127, 369371, 369620, 369860, 370110, 370326, 370543, 370758, 370972, 371196, 371440, 371684, 371926, 372179, 372393, 372612, 372834, 373053, 373278, 373521, 373771, 374015, 374262, 374483, 374703, 374923, 375139, 375359, 375601, 375846, 376089, 376339, 376559, 376778, 376997, 377216, 377444, 377684, 377925, 378163, 378411, 378627, 378842, 379058, 379273, 379496, 379736, 379981, 380219, 380473, 380696, 380941, 381148, 381361, 381599, 381826, 382067, 382315, 382560, 382784, 383003, 383223, 383442, 383670, 383915, 384161, 384412, 384666, 384884, 385099, 385315, 385532, 385757, 386008, 386264, 386509, 386760, 386985, 387205, 387427, 387647, 387875, 388114, 388369, 388618, 388863, 389085, 389302, 389518, 389734, 389961, 390207, 390450, 390694, 390951, 391183, 391392, 391603, 391813, 392023, 392238, 392477, 392714, 392955, 393193, 393432, 393651, 393866, 394079, 394293, 394513, 394754, 394996, 395236, 395476, 395718, 395936, 396154, 396371, 396584, 396805, 397051, 397299, 397540, 397784, 398000, 398216, 398433, 398651, 398877, 399115, 399355, 399602, 399849, 400071, 400291, 400512, 400732, 400959, 401202, 401448, 401691, 401938, 402206, 402443, 402667, 402898, 403130, 403381, 403634, 403883, 404133, 404357, 404581, 404804, 405028, 405263, 405512, 405756, 406007, 406228, 406445, 406661, 406884, 407118, 407366, 407615, 407869]","0","NA","no","serif","no","18","no","white","no","no","1080","9","9","legacy","1","1","0","C:/Users/z.lab1/Desktop/Final/subject-162.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","1","(115, 515)","star","yes","no","no","0,0","0","1","1","NA","140482","140482","NA","2","legacy","1024","2","44100","-16","NA","experiment","162","even","droid","[55870.0, 56093.0, 56324.0, 56557.0, 56807.0, 57060.0, 57309.0, 57559.0, 57783.0, 58008.0, 58231.0, 58454.0]","284299","342958","343958","NA","322452","NA","NA","NA","NA","NA","1736","159261","159784","176241","159784","238761","1713","NA","261137","346571","342957","142222","1711","408111","BTA (Zapotec RC script)","0","0","0","no","346576","no","1920","[756, 592, 440, 329, 224, 135, 120, 107, 104, 102, 103, 102]","[944, 920, 913, 891, 832, 668, 450, 274, 184, 126, 105, 97]"
# 2018-07-12 11:58:44.412000> starting trial 2 with item-cond 12-f
# 2018-07-12 11:58:48.802000> starting sentence audio 2 with item-cond 12-f
# 2018-07-12 11:58:48.812000 : Third practice trial at time 414003
"14894","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","409613","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","f","12","undefined","946","785","yes","07/12/18 11:51:54","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab1/Desktop/Final","[413988, 413993, 414213, 414427, 414647, 414878, 415112, 415342, 415580, 415804, 416018, 416233, 416447, 416660, 416875, 417110, 417341, 417572, 417813, 418044, 418256, 418468, 418678, 418888, 419103, 419340, 419572, 419811, 420049, 420276, 420488, 420701, 420915, 421129, 421352, 421593, 421834, 422072, 422303, 422512, 422723, 422933, 423146, 423368, 423605, 423846, 424082, 424323, 424544, 424760, 424974, 425193, 425415, 425652, 425896, 426141, 426392, 426604, 426818, 427037, 427252, 427475, 427716, 427965, 428212, 428446, 428662, 428877]","0","NA","no","serif","no","18","no","white","no","no","1080","12","12","legacy","2","2","0","C:/Users/z.lab1/Desktop/Final/subject-162.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1811, 522)","flower","yes","no","no","0,0","0","1","1","NA","140482","140482","NA","2","legacy","1024","2","44100","-16","NA","experiment","162","even","droid","[10559.0, 10774.0, 10988.0, 11207.0, 11429.0, 11666.0, 11910.0, 12155.0, 12406.0, 12619.0, 12835.0, 13051.0, 13267.0]","284299","408603","409603","NA","322452","NA","NA","NA","NA","NA","1736","159261","159784","176241","159784","238761","1713","NA","261137","413982","408602","142222","1711","429085","BTA (Zapotec RC script)","0","0","0","no","413988","no","1920","[1115, 1244, 1367, 1517, 1674, 1763, 1811, 1833, 1839, 1839, 1829, 1819, 1814]","[957, 973, 973, 945, 860, 776, 670, 545, 423, 299, 207, 155, 120]"
# 2018-07-12 11:59:05.608000> starting trial 3 with item-cond 20-f
