# 2018-06-28 08:07:52.057000 : Beginning an experiment with subject number 212
# 2018-06-28 08:13:26.174000 : First practice screen shown at time 336625
# 2018-06-28 08:13:42.466000 : Touch tracking instructions at time 352917
# 2018-06-28 08:15:09.213000 : Second practice trial at time 439663
# 2018-06-28 08:16:55.340000 : Third practice trial at time 545791
# 2018-06-28 08:18:21.540000> starting trial 0 with item-cond 23-c
# 2018-06-28 08:18:24.899000> starting sentence audio 0 with item-cond 23-c
# 2018-06-28 08:18:24.911000 : Third practice trial at time 635362
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"85992","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","632016","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","c","23","undefined","828","742","yes","06/28/18 08:07:49","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[635344, 635350, 635601, 635822, 636063, 636328, 636583, 636820, 637118, 637330, 637543, 637757, 637973, 638194, 638443, 638682, 638969, 639223, 639443, 639662, 639881, 640100, 640326, 640574, 640857, 641140, 641432, 641678, 641900, 642122, 642350, 642594, 642885, 643154, 643404, 643663, 643888, 644108, 644330, 644550, 644782, 645023, 645266, 645515, 645789, 646011, 646234, 646460, 646686, 646937, 647189, 647431, 647692, 647952, 648206, 648519, 648736, 648956, 649208, 649465, 649714, 649970, 650196, 650421, 650697, 650945, 651243, 651491, 651743, 651998, 652218, 652440, 652661, 652883, 653120, 653384, 653655, 653909, 654130, 654353, 654576, 654799, 655032, 655308, 655593, 655858, 656082, 656308, 656537, 656759, 656997, 657248, 657495, 657755, 658001, 658278, 658553, 658798, 659049, 659304, 659580, 659804, 660087, 660305, 660524, 660757, 661022, 661261, 661502, 661777, 661999, 662218, 662436, 662655, 662882, 663124, 663379, 663622, 663917, 664138, 664358, 664579, 664832, 665066, 665325, 665593, 665839, 666083, 666307, 666524, 666743, 666962, 667195, 667458, 667749, 667997, 668234, 668467, 668719, 669020, 669262, 669505, 669759, 670008, 670265, 670507, 670727, 670939, 671162, 671415, 671666, 671935, 672171, 672413, 672630, 672842, 673054, 673269, 673499, 673843, 674131, 674374, 674663, 674880, 675099, 675317, 675537, 675767, 676041, 676335, 676600, 676864, 677085, 677305, 677522, 677766, 678001, 678240, 678510, 678777, 679025, 679243, 679463, 679683, 679902, 680129, 680368, 680608, 680884, 681176, 681396, 681616, 681836, 682056, 682283, 682557, 682859, 683144, 683415, 683659, 683961, 684271, 684553, 684833, 685138, 685434, 685657, 685879, 686103, 686326, 686560, 686826, 687089, 687347, 687572, 687795, 688018, 688241, 688478, 688733, 689031, 689320, 689539, 689761, 690004, 690229, 690501, 690762, 691009, 691269, 691493, 691718, 691941, 692164, 692408, 692658, 692917, 693166, 693385, 693606, 693828, 694049, 694285, 694580, 694862, 695120, 695343, 695569, 695794, 696046, 696291, 696534, 696828, 697085, 697308, 697533, 697757, 697982, 698226, 698471, 698812, 699166, 699422, 699722, 699972, 700199, 700458, 700702, 700949, 701194, 701421, 701674, 701947, 702202, 702508, 702795, 703033, 703281, 703503, 703748, 703970, 704190, 704431, 704682, 704972, 705231, 705484, 705703, 705923, 706144, 706364, 706601, 706856, 707125, 707368, 707608, 707825, 708081, 708302, 708523, 708769, 709017, 709290, 709533, 709799, 710026, 710246, 710467, 710715, 710958, 711222, 711464, 711707, 711977, 712210, 712437, 712676, 712897, 713136, 713387, 713668, 713922, 714173, 714460, 714753, 714995, 715248, 715517, 715794, 716019, 716246, 716470, 716698, 716962, 717220, 717492, 717768, 717999, 718224, 718449, 718674, 718909, 719153, 719420, 719743, 720017, 720303, 720580, 720817, 721074, 721334]","0","NA","no","serif","no","18","no","white","no","no","1080","23","23","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-212.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(116, 443)","leaf","yes","no","no","0,0","0","1","1","NA","315903","315903","NA","2","legacy","1024","2","44100","-16","NA","experiment","212","even","droid","[12611.0, 13868.0, 14124.0, 14373.0, 14629.0, 14854.0, 15082.0, 15356.0, 15604.0, 24239.0, 24463.0, 36073.0, 48930.0, 63824.0, 64081.0, 76635.0, 76868.0, 78581.0, 78832.0, 79119.0, 79413.0]","596009","630991","631991","NA","630087","NA","NA","NA","NA","NA","3028","335968","336619","352901","336619","439428","3005","NA","545447","635339","630990","318934","3004","721573","BTA (Zapotec RC script)","0","0","0","no","635344","no","1920","[721, 549, 435, 360, 281, 202, 122, 87, 76, 51, 68, 94, 94, 67, 81, 58, 60, 68, 85, 95, 97]","[805, 713, 631, 560, 442, 308, 187, 102, 56, 325, 409, 191, 76, 290, 402, 344, 295, 168, 99, 57, 56]"
# 2018-06-28 08:19:52.860000> starting trial 1 with item-cond 7-c
# 2018-06-28 08:19:55.370000> starting sentence audio 1 with item-cond 7-c
# 2018-06-28 08:19:55.380000 : Third practice trial at time 725831
"19037","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","723332","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","c","7","undefined","828","742","yes","06/28/18 08:07:49","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[725814, 725820, 726090, 726354, 726615, 726859, 727107, 727321, 727539, 727758, 727976, 728201, 728487, 728743, 728997, 729271, 729551, 729778, 729996, 730215, 730433, 730665, 730903, 731140, 731411, 731682, 731925, 732147, 732369, 732592, 732813, 733051, 733303, 733545, 733797, 734045, 734284, 734506, 734729, 734949, 735189, 735454, 735760, 736022, 736267, 736508, 736730, 736965, 737329, 737588, 737842, 738089, 738354, 738655, 738886, 739118, 739346, 739595, 739852, 740116, 740367, 740590, 740814, 741039, 741264, 741500, 741752, 742028, 742295, 742521, 742745, 742969, 743193, 743427, 743682, 744032, 744302, 744581, 744849]","0","NA","no","serif","no","18","no","white","no","no","1080","7","7","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-212.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1822, 479)","leaf","yes","no","no","0,0","0","1","1","NA","315903","315903","NA","2","legacy","1024","2","44100","-16","NA","experiment","212","even","droid","[9949.0, 10210.0, 11517.0, 11777.0, 12030.0, 12277.0, 12543.0, 12844.0, 13075.0]","596009","722311","723311","NA","630087","NA","NA","NA","NA","NA","3028","335968","336619","352901","336619","439428","3005","NA","545447","725809","722310","318934","3004","745109","BTA (Zapotec RC script)","0","0","0","no","725814","no","1920","[1093, 1191, 1404, 1525, 1618, 1713, 1807, 1844, 1854]","[783, 694, 485, 372, 290, 204, 109, 78, 62]"
# 2018-06-28 08:20:16.310000> starting trial 2 with item-cond 11-g
# 2018-06-28 08:20:19.579000> starting sentence audio 2 with item-cond 11-g
# 2018-06-28 08:20:19.589000 : Third practice trial at time 750040
"32969","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","746785","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","g","11","undefined","828","742","yes","06/28/18 08:07:49","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[750024, 750029, 750276, 750515, 750757, 751011, 751275, 751535, 751779, 752008, 752237, 752467, 752700, 752946, 753208, 753483, 753739, 753989, 754217, 754447, 754689, 754922, 755170, 755448, 755718, 755969, 756216, 756442, 756670, 756898, 757124, 757366, 757615, 757875, 758128, 758395, 758624, 758856, 759088, 759321, 759584, 759880, 760176, 760433, 760696, 760947, 761200, 761514, 761804, 762083, 762344, 762672, 762929, 763157, 763386, 763633, 763880, 764136, 764397, 764740, 765033, 765267, 765498, 765730, 765962, 766246, 766516, 766785, 767125, 767354, 767607, 767833, 768061, 768305, 768583, 768835, 769087, 769338, 769565, 769794, 770024, 770253, 770497, 770747, 771056, 771338, 771658, 771890, 772125, 772363, 772617, 772876, 773163, 773451, 773729, 774015, 774246, 774477, 774708, 774939, 775193, 775443, 775711, 776001, 776243, 776472, 776700, 776929, 777157, 777437, 777692, 777945, 778235, 778493, 778723, 778952, 779179, 779406, 779657, 779914, 780173, 780436, 780683, 780914, 781146, 781378, 781632, 781888, 782152, 782426, 782657, 782990]","0","NA","no","serif","no","18","no","white","no","no","1080","11","11","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-212.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1815, 441)","leaf","yes","no","no","0,0","0","1","1","NA","315903","315903","NA","2","legacy","1024","2","44100","-16","NA","experiment","212","even","droid","[10676.0, 10927.0, 11178.0, 11494.0, 11782.0, 12061.0, 12322.0, 16764.0, 17103.0, 27923.0, 28214.0]","596009","745761","746761","NA","630087","NA","NA","NA","NA","NA","3028","335968","336619","352901","336619","439428","3005","NA","545447","750019","745760","318934","3004","783373","BTA (Zapotec RC script)","0","0","0","no","750024","no","1920","[1145, 1281, 1428, 1611, 1705, 1774, 1823, 1815, 1810, 1808, 1829]","[710, 558, 416, 255, 167, 119, 82, 304, 460, 205, 65]"
# 2018-06-28 08:20:54.668000> starting trial 3 with item-cond 6-b
