# 2018-06-28 10:55:13.518000 : Beginning an experiment with subject number 221
# 2018-06-28 10:55:43.667000 : First practice screen shown at time 32615
# 2018-06-28 10:55:59.958000 : Touch tracking instructions at time 48906
# 2018-06-28 10:57:10.215000 : Second practice trial at time 119163
# 2018-06-28 10:58:10.734000 : Third practice trial at time 179682
# 2018-06-28 11:00:48.235000> starting trial 0 with item-cond 1-f
# 2018-06-28 11:00:50.626000> starting sentence audio 0 with item-cond 1-f
# 2018-06-28 11:00:50.637000 : Third practice trial at time 339585
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"81347","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","337204","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","f","1","undefined","1008","911","yes","06/28/18 10:55:11","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[339564, 339574, 339812, 340037, 340261, 340486, 340723, 340970, 341216, 341462, 341717, 341983, 342207, 342433, 342698, 342957, 343198, 343480, 343733, 343992, 344237, 344466, 344694, 344935, 345188, 345455, 345732, 346025, 346277, 346514, 346744, 346974, 347210, 347456, 347712, 347961, 348211, 348441, 348668, 348893, 349115, 349365, 349612, 349867, 350123, 350371, 350607, 350834, 351062, 351297, 351583, 351860, 352124, 352382, 352611, 352839, 353069, 353298, 353550, 353807, 354056, 354312, 354581, 354812, 355042, 355271, 355507, 355753, 356003, 356250, 356520, 356764, 356994, 357224, 357462, 357714, 358024, 358302, 358569, 358845, 359148, 359395, 359686, 359932, 360185, 360465, 360736, 360967, 361188, 361409, 361661, 361906, 362191, 362490, 362769, 363043, 363300, 363527, 363755, 363993, 364240, 364495, 364746, 365001, 365230, 365459, 365689, 365920, 366180, 366431, 366700, 366964, 367216, 367443, 367670, 367897, 368135, 368454, 368727, 368991, 369260, 369508, 369753, 370003, 370261, 370562, 370842, 371124, 371427, 371728, 371955, 372185, 372415, 372660, 372905, 373172, 373461, 373733, 373980, 374236, 374511, 374782, 375078, 375334, 375597, 375871, 376099, 376326, 376558, 376801, 377062, 377329, 377608, 377909, 378140, 378367, 378594, 378821, 379060, 379409, 379699, 379955, 380202, 380429, 380658, 380886, 381133, 381377, 381627, 381883, 382132, 382363, 382592, 382818, 383046, 383298, 383554, 383820, 384081, 384334, 384580, 384809, 385039, 385269, 385516, 385761, 386014, 386312, 386569, 386812, 387119, 387498, 387768, 388105, 388367, 388700, 388932, 389159, 389425, 389687, 389974, 390279, 390553, 390832, 391085, 391389, 391728, 392016, 392270, 392529, 392802, 393064, 393301, 393609, 393951, 394265, 394515, 394774, 395041, 395316, 395546, 395770, 395995, 396227, 396482, 396730, 397003, 397331, 397584, 397814, 398045, 398278, 398532, 398798, 399057, 399324, 399604, 399881, 400115, 400371, 400631, 400887, 401165, 401432, 401745, 401983, 402235, 402467, 402714, 402988, 403244, 403518, 403772, 404010, 404239, 404466, 404693, 404941, 405195, 405447, 405699, 405939, 406167, 406394, 406628, 406873, 407141, 407394, 407645, 407883, 408117, 408341, 408565, 408822, 409084, 409334, 409605, 409961, 410298, 410582, 411019, 411282, 411556, 411825, 412081, 412314, 412546, 412774, 413115, 413376, 413647, 413914, 414148, 414374, 414601, 414835, 415134, 415407, 415668, 415957, 416235, 416528, 416841, 417264, 417543, 417817, 418078, 418330, 418558, 418789, 419026, 419274, 419528, 419805, 420093, 420341, 420579, 420909]","0","NA","no","serif","no","18","no","white","no","no","1080","1","1","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-221.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1789, 454)","star","yes","no","no","0,0","0","1","1","NA","11948","11948","NA","2","legacy","1024","2","44100","-16","NA","experiment","221","odd","droid","[29947.0, 30192.0, 30441.0, 30700.0, 31001.0, 31280.0, 34420.0, 34675.0, 34949.0, 35220.0, 35517.0, 35773.0, 36036.0, 54390.0, 54703.0, 54953.0, 62905.0, 63152.0, 63426.0, 63682.0, 63957.0, 64210.0, 64449.0, 64677.0, 64904.0]","301323","336183","337183","NA","335431","NA","NA","NA","NA","NA","2990","31987","32610","48890","32610","118936","2967","NA","179180","339559","336181","14941","2966","421139","BTA (Zapotec RC script)","0","0","0","no","339564","no","1920","[1023, 1059, 1078, 1069, 1018, 1014, 1065, 1110, 1153, 1176, 1103, 1061, 1062, 1087, 1149, 1184, 1225, 1297, 1430, 1614, 1756, 1827, 1849, 1849, 1848]","[903, 893, 887, 894, 937, 944, 932, 895, 887, 876, 910, 926, 929, 880, 752, 695, 680, 624, 500, 330, 183, 118, 104, 101, 101]"
# 2018-06-28 11:02:13.910000> starting trial 1 with item-cond 17-f
# 2018-06-28 11:02:17.920000> starting sentence audio 1 with item-cond 17-f
# 2018-06-28 11:02:17.930000 : Third practice trial at time 426878
"64654","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","422883","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","f","17","undefined","1008","911","yes","06/28/18 10:55:11","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[426863, 426868, 427128, 427347, 427567, 427792, 428033, 428295, 428577, 428823, 429071, 429306, 429529, 429751, 429977, 430269, 430516, 430756, 430997, 431243, 431482, 431703, 431925, 432147, 432381, 432619, 432882, 433125, 433389, 433636, 433860, 434081, 434303, 434543, 434829, 435095, 435361, 435608, 435847, 436067, 436303, 436537, 436888, 437147, 437407, 437671, 437964, 438199, 438507, 438767, 439074, 439327, 439575, 439823, 440123, 440354, 440575, 440797, 441019, 441293, 441571, 441819, 442062, 442323, 442594, 442839, 443061, 443284, 443608, 443856, 444099, 444349, 444606, 444832, 445055, 445281, 445507, 445804, 446048, 446343, 446599, 446859, 447094, 447323, 447552, 447782, 448032, 448285, 448543, 448834, 449081, 449308, 449537, 449774, 450034, 450299, 450557, 450810, 451048, 451279, 451508, 451737, 451980, 452227, 452484, 452737, 453069, 453304, 453531, 453756, 453982, 454237, 454505, 454844, 455118, 455407, 455753, 455981, 456210, 456444, 456697, 456951, 457239, 457503, 457787, 458105, 458361, 458731, 458986, 459255, 459505, 459777, 460015, 460241, 460465, 460690, 460981, 461258, 461550, 461814, 462073, 462343, 462578, 462846, 463148, 463409, 463707, 463993, 464246, 464509, 464752, 465000, 465264, 465556, 465821, 466095, 466363, 466641, 466883, 467140, 467392, 467649, 467931, 468195, 468509, 468738, 468967, 469194, 469433, 469726, 469980, 470238, 470496, 470724, 470958, 471186, 471423, 471683, 471955, 472238, 472513, 472770, 473007, 473244, 473515, 473766, 474095, 474360, 474620, 474844, 475072, 475299, 475542, 475791, 476048, 476314, 476586, 476826, 477053, 477279, 477524, 477793, 478046, 478345, 478597, 478820, 479060, 479288, 479534, 479803, 480063, 480330, 480590, 480819, 481075, 481304, 481579, 481833, 482110, 482407, 482666, 482890, 483113, 483337, 483591, 483852, 484148, 484407, 484669, 484894, 485141, 485376, 485623, 485884, 486140, 486398, 486668, 486892, 487116, 487339, 487672, 487928, 488226, 488509, 488774, 489000, 489225, 489452, 489706, 489970, 490221, 490492, 490762, 490990, 491220, 491515]","0","NA","no","serif","no","18","no","white","no","no","1080","17","17","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-221.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1784, 467)","star","yes","no","no","0,0","0","1","1","NA","11948","11948","NA","2","legacy","1024","2","44100","-16","NA","experiment","221","odd","droid","[9677.0, 10028.0, 10286.0, 10546.0, 10810.0, 11104.0, 11338.0, 11647.0, 37892.0, 38139.0, 39502.0, 39780.0, 40023.0, 40279.0, 40531.0, 40788.0]","301323","421858","422858","NA","335431","NA","NA","NA","NA","NA","2990","31987","32610","48890","32610","118936","2967","NA","179180","426858","421857","14941","2966","491765","BTA (Zapotec RC script)","0","0","0","no","426863","no","1920","[974, 995, 1014, 1036, 1055, 1073, 1078, 1082, 1290, 1377, 1641, 1734, 1772, 1799, 1811, 1813]","[930, 841, 754, 678, 611, 555, 536, 513, 398, 347, 225, 165, 139, 120, 105, 102]"
# 2018-06-28 11:03:24.529000> starting trial 2 with item-cond 22-c
# 2018-06-28 11:03:29.141000> starting sentence audio 2 with item-cond 22-c
# 2018-06-28 11:03:29.150000 : Third practice trial at time 498098
"100824","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","493505","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","c","22","undefined","1008","911","yes","06/28/18 10:55:11","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[498084, 498089, 498325, 498551, 498792, 499083, 499364, 499616, 499884, 500129, 500350, 500573, 500802, 501058, 501319, 501615, 501870, 502124, 502371, 502618, 502848, 503078, 503348, 503598, 503879, 504176, 504471, 504755, 505022, 505259, 505491, 505724, 505962, 506300, 506559, 506809, 507065, 507315, 507545, 507775, 508008, 508270, 508523, 508783, 509047, 509386, 509636, 509871, 510118, 510364, 510653, 510938, 511226, 511507, 511762, 512012, 512264, 512500, 512800, 513050, 513356, 513636, 514012, 514267, 514505, 514743, 514972, 515222, 515473, 515737, 516037, 516294, 516551, 516778, 517014, 517244, 517496, 517743, 518020, 518297, 518624, 518888, 519114, 519340, 519565, 519815, 520068, 520327, 520576, 520850, 521143, 521367, 521590, 521816, 522136, 522385, 522649, 522954, 523215, 523495, 523759, 524006, 524247, 524510, 524808, 525067, 525348, 525608, 525850, 526077, 526302, 526561, 526837, 527086, 527359, 527638, 527928, 528153, 528375, 528598, 528844, 529094, 529397, 529648, 529902, 530187, 530425, 530655, 530885, 531170, 531444, 531701, 531983, 532237, 532485, 532715, 532944, 533174, 533435, 533690, 534021, 534344, 534784, 535149, 535406, 535677, 535950, 536212, 536479, 536736, 537019, 537279, 537509, 537740, 537972, 538224, 538510, 538776, 539024, 539285, 539539, 539771, 540001, 540233, 540489, 540740, 540994, 541247, 541547, 541934, 542202, 542424, 542652, 542900, 543154, 543455, 543713, 543966, 544198, 544430, 544662, 544958, 545205, 545458, 545727, 545987, 546298, 546527, 546759, 546990, 547259, 547513, 547856, 548116, 548372, 548611, 548842, 549072, 549323, 549574, 549827, 550173, 550464, 550754, 550980, 551211, 551450, 551714, 551967, 552285, 552543, 552818, 553062, 553308, 553537, 553767, 554022, 554286, 554552, 554848, 555125, 555385, 555650, 555902, 556189, 556445, 556716, 557025, 557311, 557584, 557819, 558072, 558438, 558751, 559031, 559300, 559591, 559867, 560113, 560356, 560642, 560912, 561168, 561421, 561674, 561951, 562243, 562492, 562749, 562997, 563298, 563555, 563842, 564149, 564406, 564635, 564865, 565097, 565353, 565603, 565871, 566166, 566437, 566704, 566934, 567163, 567393, 567675, 567921, 568183, 568434, 568714, 568985, 569215, 569446, 569677, 569921, 570175, 570443, 570709, 570993, 571252, 571480, 571711, 571958, 572263, 572519, 572782, 573084, 573381, 573639, 573889, 574170, 574456, 574719, 574987, 575261, 575524, 575782, 576015, 576246, 576516, 576752, 577093, 577365, 577689, 577948, 578215, 578479, 578710, 578940, 579170, 579439, 579706, 579988, 580256, 580525, 580788, 581044, 581296, 581550, 581808, 582170, 582452, 582754, 583009, 583266, 583517, 583748, 584032, 584280, 584538, 584803, 585149, 585469, 585712, 585985, 586241, 586561, 586843, 587093, 587366, 587670, 587902, 588162, 588403, 588685, 588955, 589203, 589461, 589735, 589967, 590251, 590510, 590764, 591035, 591288, 591547, 591805, 592043, 592279, 592539, 592798, 593062, 593347, 593625, 593862, 594098, 594333, 594597, 594936, 595331, 595611, 595920, 596154, 596420, 596764, 597043, 597331, 597694, 597955, 598193, 598431, 598666, 598906]","0","NA","no","serif","no","18","no","white","no","no","1080","22","22","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-221.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1791, 458)","tortilla","yes","no","no","0,0","0","1","1","NA","11948","11948","NA","2","legacy","1024","2","44100","-16","NA","experiment","221","odd","droid","[64411.0, 65760.0, 78670.0, 87387.0, 87631.0, 87903.0, 88159.0, 88481.0, 92428.0, 92683.0, 92955.0, 93207.0, 93465.0, 93723.0]","301323","492477","493477","NA","335431","NA","NA","NA","NA","NA","2990","31987","32610","48890","32610","118936","2967","NA","179180","498078","492476","14941","2966","599215","BTA (Zapotec RC script)","0","0","0","no","498084","no","1920","[746, 1055, 1053, 1107, 1171, 1264, 1320, 1352, 1453, 1557, 1682, 1794, 1848, 1856]","[828, 786, 782, 731, 651, 551, 493, 470, 393, 304, 198, 111, 85, 84]"
# 2018-06-28 11:05:11.855000> starting trial 3 with item-cond 14-c
# 2018-06-28 11:05:15.671000> starting sentence audio 3 with item-cond 14-c
# 2018-06-28 11:05:15.692000 : Third practice trial at time 604640
"64430","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","600825","relative","undefined","undefined","0","3","3","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","3","3","0","0","3","c","14","undefined","1008","911","yes","06/28/18 10:55:11","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[604613, 604619, 605066, 605317, 605579, 605844, 606090, 606325, 606559, 606794, 607061, 607322, 607588, 607849, 608121, 608402, 608636, 608870, 609104, 609359, 609628, 609961, 610254, 610592, 610890, 611156, 611522, 611866, 612136, 612403, 612682, 613017, 613268, 613529, 613762, 614017, 614291, 614559, 614852, 615125, 615362, 615629, 615907, 616241, 616508, 616773, 617065, 617387, 617631, 617889, 618132, 618438, 618737, 619094, 619373, 619656, 619934, 620188, 620469, 620775, 621095, 621379, 621689, 621960, 622219, 622510, 622791, 623117, 623523, 623790, 624061, 624330, 624623, 624899, 625226, 625490, 625767, 626074, 626380, 626683, 626929, 627181, 627423, 627657, 627937, 628189, 628467, 628774, 629098, 629336, 629574, 629813, 630107, 630408, 630683, 630984, 631281, 631537, 631808, 632086, 632402, 632759, 633142, 633410, 633677, 633914, 634143, 634376, 634611, 634871, 635139, 635437, 635705, 635966, 636216, 636480, 636718, 636969, 637225, 637486, 637747, 638017, 638294, 638529, 638763, 638998, 639258, 639515, 639801, 640079, 640343, 640582, 640820, 641053, 641298, 641561, 641847, 642110, 642402, 642644, 642884, 643121, 643366, 643642, 643946, 644204, 644464, 644726, 644965, 645203, 645441, 645694, 645953, 646258, 646533, 646819, 647081, 647389, 647669, 647930, 648200, 648473, 648784, 649077, 649320, 649581, 649816, 650070, 650351, 650636, 650943, 651199, 651434, 651696, 651931, 652215, 652494, 652760, 653028, 653281, 653520, 653755, 653992, 654269, 654562, 654829, 655100, 655345, 655582, 655820, 656058, 656319, 656587, 656924, 657201, 657453, 657690, 657927, 658165, 658451, 658727, 658994, 659283, 659547, 659782, 660017, 660252, 660553, 660819, 661086, 661396, 661643, 661883, 662131, 662370, 662658, 662922, 663217, 663592, 663871, 664128, 664368, 664629, 664908, 665173, 665513, 665785, 666022, 666261, 666500, 666765, 667096, 667372, 667636, 667904, 668146, 668408, 668711, 669040]","0","NA","no","serif","no","18","no","white","no","no","1080","14","14","legacy","3","3","0","C:/Users/z.lab2/Desktop/Final/subject-221.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(107, 507)","tortilla","yes","no","no","0,0","0","1","1","NA","11948","11948","NA","2","legacy","1024","2","44100","-16","NA","experiment","221","odd","droid","[26671.0, 26927.0, 27198.0, 27475.0, 27792.0, 28149.0, 28531.0, 28800.0, 42778.0, 43059.0, 43319.0, 43591.0, 43863.0, 44175.0, 44466.0, 44709.0]","301323","599803","600803","NA","335431","NA","NA","NA","NA","NA","2990","31987","32610","48890","32610","118936","2967","NA","179180","604608","599802","14941","2966","669303","BTA (Zapotec RC script)","0","0","0","no","604613","no","1920","[958, 969, 951, 893, 833, 780, 756, 746, 678, 572, 445, 336, 228, 141, 94, 72]","[936, 932, 907, 806, 717, 632, 587, 542, 507, 425, 332, 255, 176, 127, 104, 95]"
# 2018-06-28 11:06:21.957000> starting trial 4 with item-cond 21-b
# 2018-06-28 11:06:24.751000> starting sentence audio 4 with item-cond 21-b
# 2018-06-28 11:06:24.762000 : Third practice trial at time 673710
