# 2018-06-28 12:51:56.050000 : Beginning an experiment with subject number 227
# 2018-06-28 12:52:57.785000 : First practice screen shown at time 64043
# 2018-06-28 12:53:14.082000 : Touch tracking instructions at time 80339
# 2018-06-28 12:55:02.017000 : Second practice trial at time 188275
# 2018-06-28 12:55:21.496000 : Third practice trial at time 207753
# 2018-06-28 12:56:33.245000> starting trial 0 with item-cond 21-h
# 2018-06-28 12:56:36.044000> starting sentence audio 0 with item-cond 21-h
# 2018-06-28 12:56:36.056000 : Third practice trial at time 282313
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"16558","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","279525","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","h","21","undefined","1071","755","yes","06/28/18 12:51:53","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[282296, 282301, 282534, 282750, 282972, 283213, 283457, 283690, 283932, 284168, 284383, 284598, 284813, 285027, 285247, 285484, 285725, 285960, 286212, 286449, 286665, 286880, 287094, 287309, 287530, 287771, 288011, 288253, 288505, 288721, 288937, 289153, 289374, 289606, 289859, 290114, 290367, 290620, 290845, 291063, 291285, 291508, 291740, 291992, 292246, 292506, 292757, 292981, 293204, 293427, 293651, 293888, 294148, 294405, 294659, 294882, 295104, 295326, 295548, 295780, 296025, 296272, 296528, 296750, 296971, 297194, 297415, 297644, 297897, 298147, 298405, 298629, 298852]","0","NA","no","serif","no","18","no","white","no","no","1080","21","21","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-227.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(79, 467)","star","yes","no","no","0,0","0","1","1","NA","43757","43757","NA","2","legacy","1024","2","44100","-16","NA","experiment","227","odd","droid","[8551.0, 8769.0, 8991.0, 9214.0, 9952.0, 10213.0, 10463.0, 10687.0, 10910.0, 11134.0, 11357.0, 11596.0]","237592","278503","279503","NA","278086","NA","NA","NA","NA","NA","2757","63548","64038","80320","64038","188059","2735","NA","207489","282291","278501","46519","2734","299068","BTA (Zapotec RC script)","0","0","0","no","282296","no","1920","[712, 425, 365, 364, 233, 129, 86, 61, 55, 67, 81, 98]","[934, 886, 876, 873, 655, 426, 300, 224, 184, 148, 114, 75]"
# 2018-06-28 12:56:54.362000> starting trial 1 with item-cond 22-a
# 2018-06-28 12:56:58.983000> starting sentence audio 1 with item-cond 22-a
# 2018-06-28 12:56:58.994000 : Third practice trial at time 305252
"16357","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","300637","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","a","22","undefined","1071","755","yes","06/28/18 12:51:53","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[305236, 305240, 305474, 305694, 305914, 306135, 306372, 306617, 306858, 307101, 307349, 307597, 307815, 308032, 308249, 308466, 308688, 308929, 309170, 309414, 309654, 309892, 310111, 310328, 310544, 310760, 310986, 311229, 311472, 311715, 311960, 312209, 312428, 312643, 312859, 313076, 313297, 313534, 313779, 314021, 314269, 314496, 314721, 314947, 315173, 315407, 315657, 315916, 316165, 316429, 316653, 316881, 317108, 317333, 317568, 317813, 318068, 318328, 318574, 318799, 319019, 319240, 319461, 319694, 319938, 320189, 320448, 320675, 320896, 321118, 321343, 321590]","0","NA","no","serif","no","18","no","white","no","no","1080","22","22","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-227.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1779, 504)","tortilla","yes","no","no","0,0","0","1","1","NA","43757","43757","NA","2","legacy","1024","2","44100","-16","NA","experiment","227","odd","droid","[9713.0, 9939.0, 10173.0, 10423.0, 10682.0, 10931.0, 11195.0, 11421.0, 11648.0, 11873.0, 12099.0, 12334.0, 12579.0, 12835.0, 13094.0]","237592","299620","300620","NA","278086","NA","NA","NA","NA","NA","2757","63548","64038","80320","64038","188059","2735","NA","207489","305231","299618","46519","2734","321833","BTA (Zapotec RC script)","0","0","0","no","305236","no","1920","[1187, 1329, 1476, 1554, 1644, 1679, 1713, 1729, 1728, 1751, 1780, 1810, 1837, 1843, 1840]","[914, 911, 892, 886, 876, 871, 835, 752, 616, 461, 352, 223, 117, 91, 85]"
# 2018-06-28 12:57:17.162000> starting trial 2 with item-cond 18-e
# 2018-06-28 12:57:19.953000> starting sentence audio 2 with item-cond 18-e
# 2018-06-28 12:57:19.967000 : Third practice trial at time 326225
"31088","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","323439","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","e","18","undefined","1071","755","yes","06/28/18 12:51:53","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[326204, 326210, 326445, 326659, 326888, 327126, 327368, 327603, 327847, 328068, 328282, 328495, 328709, 328929, 329175, 329415, 329648, 329901, 330137, 330354, 330572, 330790, 331004, 331241, 331479, 331720, 331954, 332209, 332425, 332642, 332865, 333093, 333325, 333580, 333830, 334069, 334322, 334535, 334757, 334975, 335196, 335423, 335662, 335909, 336163, 336422, 336666, 336882, 337102, 337326, 337548, 337791, 338031, 338277, 338513, 338765, 338981, 339201, 339419, 339641, 339877, 340131, 340389, 340645, 340896, 341115, 341331, 341546, 341762, 341990, 342241, 342488, 342739, 342991, 343211, 343425, 343639, 343860, 344092, 344344, 344599, 344851, 345103, 345328, 345553, 345773, 345996, 346232, 346482, 346729, 346974, 347223, 347443, 347661, 347880, 348099, 348325, 348565, 348818, 349070, 349321, 349537, 349752, 349968, 350184, 350407, 350647, 350890, 351140, 351385, 351605, 351827, 352051, 352276, 352512, 352761, 353019, 353288, 353531, 353752, 353968, 354184, 354400, 354647, 354899, 355142, 355399, 355622, 355841, 356057, 356273, 356502, 356758, 357018, 357290]","0","NA","no","serif","no","18","no","white","no","no","1080","18","18","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-227.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","1","(78, 451)","tortilla","yes","no","no","0,0","0","1","1","NA","43757","43757","NA","2","legacy","1024","2","44100","-16","NA","experiment","227","odd","droid","[8774.0, 8994.0, 9961.0, 10221.0, 11125.0, 11346.0, 16039.0, 16288.0, 26074.0, 26311.0, 26561.0, 26818.0, 27086.0]","237592","322419","323419","NA","278086","NA","NA","NA","NA","NA","2757","63548","64038","80320","64038","188059","2735","NA","207489","326199","322418","46519","2734","357504","BTA (Zapotec RC script)","0","0","0","no","326204","no","1920","[835, 600, 481, 349, 219, 156, 80, 88, 103, 100, 104, 99, 94]","[911, 899, 876, 862, 838, 829, 358, 200, 173, 141, 106, 107, 95]"
# 2018-06-28 12:57:52.761000> starting trial 3 with item-cond 15-b
