# 2018-06-29 16:57:30.045000 : Beginning an experiment with subject number 237
# 2018-06-29 17:08:21.957000 : First practice screen shown at time 653318
# 2018-06-29 17:08:38.230000 : Touch tracking instructions at time 669591
# 2018-06-29 17:09:47.554000 : Second practice trial at time 738915
# 2018-06-29 17:11:09.067000 : Third practice trial at time 820428
# 2018-06-29 17:13:00.081000> starting trial 0 with item-cond 24-e
# 2018-06-29 17:13:05.363000> starting sentence audio 0 with item-cond 24-e
# 2018-06-29 17:13:05.376000 : Third practice trial at time 936738
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"32281","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","931465","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","e","24","undefined","1005","761","yes","06/29/18 16:57:28","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[936720, 936725, 936954, 937199, 937444, 937686, 937930, 938185, 938408, 938630, 938849, 939068, 939294, 939534, 939780, 940019, 940272, 940493, 940712, 940930, 941148, 941374, 941612, 941854, 942093, 942339, 942564, 942787, 943009, 943231, 943460, 943701, 943955, 944209, 944453, 944673, 944892, 945111, 945331, 945557, 945800, 946051, 946304, 946554, 946783, 947009, 947234, 947467, 947727, 947979, 948241, 948494, 948719, 948950, 949179, 949404, 949648, 949905, 950162, 950426, 950654, 950881, 951107, 951334, 951572, 951823, 952074, 952338, 952559, 952780, 953006, 953233, 953474, 953729, 953990, 954247, 954473, 954699, 954926, 955153, 955394, 955648, 955902, 956153, 956379, 956605, 956832, 957056, 957294, 957546, 957796, 958051, 958277, 958503, 958731, 958960, 959210, 959472, 959725, 959987, 960212, 960441, 960665, 960891, 961128, 961380, 961629, 961877, 962123, 962346, 962571, 962793, 963012, 963246, 963491, 963737, 963985, 964236, 964462, 964692, 964917, 965147, 965390, 965655, 965904, 966158, 966381, 966603, 966825, 967048, 967288, 967548, 967812, 968080, 968310, 968540, 968768, 968998]","0","NA","no","serif","no","18","no","white","no","no","1080","24","24","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-237.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1821, 448)","flower","yes","no","no","0,0","0","1","1","NA","633799","633799","NA","2","legacy","1024","2","44100","-16","NA","experiment","237","odd","droid","[10065.0, 10291.0, 10516.0, 10750.0, 11009.0, 11261.0, 11523.0, 11776.0, 12001.0, 12232.0, 12461.0, 12686.0, 12930.0, 13188.0, 13444.0, 22493.0, 22754.0, 23008.0, 23269.0, 23495.0, 23724.0, 23947.0, 24173.0, 24410.0, 27974.0, 28200.0, 28429.0]","891892","930443","931443","NA","929691","NA","NA","NA","NA","NA","1912","652764","653312","669575","653312","738674","1893","NA","820188","936715","930442","635716","1891","969233","BTA (Zapotec RC script)","0","0","0","no","936720","no","1920","[1002, 1099, 1226, 1368, 1499, 1614, 1696, 1767, 1799, 1818, 1828, 1824, 1825, 1819, 1815, 1805, 1806, 1809, 1809, 1807, 1811, 1810, 1807, 1806, 1829, 1839, 1839]","[922, 909, 882, 794, 631, 424, 285, 177, 132, 96, 82, 91, 91, 109, 108, 237, 251, 283, 326, 377, 432, 451, 463, 463, 244, 178, 130]"
# 2018-06-29 17:13:39.482000> starting trial 1 with item-cond 5-b
# 2018-06-29 17:13:42.104000> starting sentence audio 1 with item-cond 5-b
# 2018-06-29 17:13:42.117000 : Third practice trial at time 973479
"55357","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","970866","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","b","5","undefined","1005","761","yes","06/29/18 16:57:28","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[973460, 973466, 973700, 973923, 974150, 974378, 974613, 974832, 975039, 975247, 975454, 975662, 975873, 976097, 976321, 976552, 976781, 977004, 977206, 977413, 977620, 977828, 978040, 978263, 978492, 978722, 978953, 979175, 979384, 979592, 979799, 980004, 980215, 980444, 980680, 980912, 981145, 981349, 981553, 981756, 981964, 982180, 982414, 982649, 982879, 983116, 983319, 983523, 983727, 983931, 984142, 984375, 984605, 984834, 985065, 985274, 985483, 985686, 985890, 986101, 986337, 986573, 986800, 987032, 987241, 987450, 987659, 987867, 988079, 988308, 988546, 988783, 989024, 989235, 989447, 989657, 989866, 990081, 990316, 990554, 990790, 991034, 991249, 991464, 991678, 991891, 992117, 992357, 992603, 992863, 993083, 993296, 993505, 993717, 993936, 994170, 994407, 994650, 994873, 995084, 995296, 995506, 995718, 995937, 996170, 996405, 996648, 996864, 997073, 997281, 997488, 997699, 997933, 998179, 998417, 998672, 998885, 999099, 999309, 999519, 999737, 999975, 1000215, 1000463, 1000695, 1000913, 1001127, 1001341, 1001556, 1001784, 1002026, 1002260, 1002504, 1002724, 1002940, 1003155, 1003366, 1003580, 1003819, 1004059, 1004304, 1004541, 1004756, 1004969, 1005181, 1005393, 1005612, 1005854, 1006097, 1006331, 1006572, 1006785, 1006993, 1007202, 1007410, 1007619, 1007843, 1008076, 1008313, 1008541, 1008773, 1008978, 1009184, 1009388, 1009593, 1009811, 1010047, 1010293, 1010525, 1010764, 1010972, 1011183, 1011393, 1011604, 1011825, 1012061, 1012295, 1012538, 1012758, 1012970, 1013181, 1013396, 1013614, 1013864, 1014105, 1014348, 1014590, 1014799, 1015006, 1015211, 1015419, 1015640, 1015877, 1016116, 1016363, 1016585, 1016800, 1017017, 1017233, 1017458, 1017701, 1017942, 1018182, 1018409, 1018620, 1018833, 1019044, 1019256, 1019479, 1019728, 1019977, 1020215, 1020455, 1020664, 1020868, 1021071, 1021276, 1021488, 1021719, 1021953, 1022183, 1022389, 1022595, 1022800, 1023004, 1023217, 1023444, 1023677, 1023906, 1024138, 1024343, 1024548, 1024752, 1024962, 1025183, 1025426, 1025666, 1025903, 1026144, 1026355, 1026567, 1026778, 1026989, 1027210, 1027450, 1027685, 1027932, 1028168, 1028386, 1028600, 1028815]","0","NA","no","serif","no","18","no","white","no","no","1080","5","5","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-237.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(74, 449)","star","yes","no","no","0,0","0","1","1","NA","633799","633799","NA","2","legacy","1024","2","44100","-16","NA","experiment","237","odd","droid","[15778.0, 15989.0, 16199.0, 16408.0, 16624.0, 16859.0, 17096.0, 17332.0, 17578.0, 17792.0, 18006.0, 18220.0, 18433.0, 18659.0, 18899.0, 19146.0, 19406.0, 19625.0, 19839.0, 20047.0, 31084.0, 31299.0, 31511.0, 31724.0, 31935.0, 32155.0, 32396.0, 36590.0, 36836.0, 37067.0, 46270.0, 46519.0, 46757.0, 51725.0, 51970.0, 52209.0]","891892","969844","970844","NA","929691","NA","NA","NA","NA","NA","1912","652764","653312","669575","653312","738674","1893","NA","820188","973455","969843","635716","1891","1029019","BTA (Zapotec RC script)","0","0","0","no","973460","no","1920","[795, 672, 561, 460, 350, 225, 149, 105, 77, 70, 73, 84, 110, 116, 119, 112, 98, 92, 90, 91, 97, 97, 94, 96, 95, 95, 90, 94, 93, 93, 75, 78, 81, 75, 96, 101]","[731, 583, 458, 369, 285, 207, 149, 113, 92, 82, 84, 91, 117, 125, 129, 119, 103, 91, 91, 91, 189, 235, 305, 377, 437, 475, 487, 262, 177, 116, 276, 334, 410, 281, 180, 130]"
# 2018-06-29 17:14:39.284000> starting trial 2 with item-cond 7-d
# 2018-06-29 17:14:41.808000> starting sentence audio 2 with item-cond 7-d
# 2018-06-29 17:14:41.818000 : Third practice trial at time 1033179
"39222","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","1030670","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","d","7","undefined","1005","761","yes","06/29/18 16:57:28","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[1033160, 1033169, 1033391, 1033593, 1033799, 1034008, 1034242, 1034473, 1034704, 1034940, 1035162, 1035374, 1035581, 1035788, 1035993, 1036205, 1036442, 1036671, 1036909, 1037143, 1037376, 1037587, 1037798, 1038009, 1038220, 1038436, 1038670, 1038908, 1039139, 1039378, 1039605, 1039817, 1040030, 1040237, 1040448, 1040668, 1040907, 1041142, 1041372, 1041607, 1041819, 1042032, 1042245, 1042456, 1042673, 1042913, 1043153, 1043382, 1043619, 1043832, 1044045, 1044257, 1044468, 1044688, 1044921, 1045160, 1045401, 1045639, 1045847, 1046054, 1046263, 1046477, 1046698, 1046938, 1047184, 1047415, 1047659, 1047872, 1048085, 1048296, 1048508, 1048725, 1048964, 1049198, 1049430, 1049668, 1049879, 1050091, 1050304, 1050516, 1050736, 1050974, 1051214, 1051451, 1051687, 1051900, 1052112, 1052324, 1052535, 1052751, 1052990, 1053225, 1053457, 1053693, 1053909, 1054128, 1054342, 1054554, 1054776, 1055021, 1055266, 1055500, 1055736, 1055950, 1056164, 1056378, 1056589, 1056810, 1057051, 1057299, 1057541, 1057789, 1057997, 1058206, 1058421, 1058639, 1058860, 1059098, 1059339, 1059576, 1059811, 1060023, 1060232, 1060437, 1060641, 1060854, 1061092, 1061328, 1061566, 1061809, 1062016, 1062225, 1062433, 1062641, 1062857, 1063086, 1063320, 1063558, 1063793, 1064005, 1064216, 1064431, 1064650, 1064872, 1065109, 1065356, 1065602, 1065852, 1066068, 1066283, 1066496, 1066706, 1066928, 1067171, 1067408, 1067657, 1067874, 1068085, 1068296, 1068506, 1068725, 1068966, 1069204, 1069451, 1069674, 1069883, 1070093, 1070302, 1070513, 1070752, 1070998, 1071246, 1071503, 1071721, 1071936, 1072158, 1072380]","0","NA","no","serif","no","18","no","white","no","no","1080","7","7","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-237.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(84, 466)","leaf","yes","no","no","0,0","0","1","1","NA","633799","633799","NA","2","legacy","1024","2","44100","-16","NA","experiment","237","odd","droid","[31492.0, 31714.0, 31951.0, 32198.0, 32446.0, 32694.0, 32910.0]","891892","1029645","1030645","NA","929691","NA","NA","NA","NA","NA","1912","652764","653312","669575","653312","738674","1893","NA","820188","1033155","1029645","635716","1891","1072590","BTA (Zapotec RC script)","0","0","0","no","1033160","no","1920","[799, 649, 482, 303, 173, 111, 99]","[869, 749, 575, 377, 192, 92, 81]"
# 2018-06-29 17:15:22.752000> starting trial 3 with item-cond 21-b
