# 2018-07-11 11:02:38.366000 : Beginning an experiment with subject number 245
# 2018-07-11 11:03:32.782000 : First practice screen shown at time 56215
# 2018-07-11 11:03:49.117000 : Touch tracking instructions at time 72550
# 2018-07-11 11:05:04.420000 : Second practice trial at time 147853
# 2018-07-11 11:05:21.941000 : Third practice trial at time 165374
# 2018-07-11 11:06:29.794000> starting trial 0 with item-cond 15-d
# 2018-07-11 11:06:33.043000> starting sentence audio 0 with item-cond 15-d
# 2018-07-11 11:06:33.056000 : Third practice trial at time 236488
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"18807","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","233251","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","d","15","undefined","668","759","yes","07/11/18 11:02:36","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[236470, 236475, 236847, 237118, 237375, 237636, 237963, 238195, 238426, 238696, 238926, 239198, 239481, 239793, 240057, 240328, 240569, 240804, 241038, 241272, 241588, 241864, 242166, 242444, 242712, 242943, 243178, 243413, 243648, 243902, 244187, 244468, 244839, 245097, 245347, 245682, 246044, 246366, 246642, 246946, 247239, 247532, 247860, 248117, 248413, 248686, 249023, 249267, 249504, 249741, 249978, 250274, 250575, 250870, 251233, 251474, 251715, 251957, 252234, 252537, 252816, 253130, 253377, 253616, 253855, 254095, 254383, 254650, 254945, 255270]","0","NA","no","serif","no","18","no","white","no","no","1080","15","15","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-245.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(141, 509)","leaf","yes","no","no","0,0","0","1","1","NA","35736","35736","NA","2","legacy","1024","2","44100","-16","NA","experiment","245","odd","droid","[8000.0, 9215.0, 9577.0, 9898.0, 10175.0, 10478.0, 10773.0, 11064.0]","189545","232227","233227","NA","231450","NA","NA","NA","NA","NA","2782","55562","56209","72475","56209","147602","2741","NA","164747","236464","232227","38521","2740","255602","BTA (Zapotec RC script)","0","0","0","no","236470","no","1920","[805, 698, 554, 482, 405, 282, 160, 97]","[827, 747, 633, 534, 422, 279, 160, 83]"
# 2018-07-11 11:06:53.731000> starting trial 1 with item-cond 21-b
# 2018-07-11 11:06:56.521000> starting sentence audio 1 with item-cond 21-b
# 2018-07-11 11:06:56.532000 : Third practice trial at time 259965
"20880","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","257187","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","b","21","undefined","668","759","yes","07/11/18 11:02:36","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[259949, 259954, 260191, 260411, 260642, 260904, 261157, 261433, 261696, 261963, 262192, 262423, 262654, 262886, 263197, 263462, 263717, 263984, 264267, 264528, 264764, 264994, 265222, 265451, 265716, 266027, 266311, 266576, 266851, 267079, 267316, 267546, 267776, 268026, 268288, 268601, 268859, 269117, 269345, 269584, 269840, 270087, 270460, 270728, 270990, 271280, 271564, 271839, 272069, 272296, 272523, 272792, 273071, 273333, 273595, 273866, 274117, 274380, 274611, 274847, 275112, 275404, 275669, 275931, 276191, 276441, 276682, 276911, 277141, 277409, 277682, 277943, 278220, 278454, 278688, 278922, 279155, 279474, 279761, 280016, 280308, 280543, 280824]","0","NA","no","serif","no","18","no","white","no","no","1080","21","21","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-245.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(180, 469)","star","yes","no","no","0,0","0","1","1","NA","35736","35736","NA","2","legacy","1024","2","44100","-16","NA","experiment","245","odd","droid","[9893.0, 10142.0, 13125.0, 13387.0, 13648.0, 13920.0, 14170.0, 14435.0, 14664.0, 14902.0, 15166.0, 15457.0, 15722.0, 15986.0, 16245.0]","189545","256163","257164","NA","231450","NA","NA","NA","NA","NA","2782","55562","56209","72475","56209","147602","2741","NA","164747","259944","256162","38521","2740","281056","BTA (Zapotec RC script)","0","0","0","no","259949","no","1920","[917, 904, 813, 775, 765, 728, 631, 558, 508, 463, 381, 300, 202, 132, 106]","[912, 883, 838, 782, 773, 752, 653, 566, 525, 493, 403, 295, 203, 134, 106]"
# 2018-07-11 11:07:19.206000> starting trial 2 with item-cond 19-h
# 2018-07-11 11:07:21.852000> starting sentence audio 2 with item-cond 19-h
# 2018-07-11 11:07:21.861000 : Third practice trial at time 285294
"17157","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","282662","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","h","19","undefined","668","759","yes","07/11/18 11:02:36","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[285279, 285285, 285520, 285741, 285962, 286218, 286471, 286742, 287033, 287321, 287575, 287803, 288031, 288258, 288484, 288730, 289027, 289292, 289627, 289879, 290134, 290373, 290598, 290823, 291124, 291444, 291702, 291952, 292227, 292504, 292740, 292965, 293196, 293435, 293689, 293956, 294222, 294481, 294707, 294936, 295171, 295466, 295794, 296057, 296322, 296638, 296906, 297158, 297397, 297625, 297866, 298131, 298393, 298664, 298923, 299188, 299440, 299682, 299911, 300139, 300385, 300681, 301002, 301281, 301505, 301732, 301960, 302183, 302431]","0","NA","no","serif","no","18","no","white","no","no","1080","19","19","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-245.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(125, 509)","leaf","yes","no","no","0,0","0","1","1","NA","35736","35736","NA","2","legacy","1024","2","44100","-16","NA","experiment","245","odd","droid","[10189.0, 10518.0, 11630.0, 13118.0, 13387.0, 13646.0, 13911.0, 14163.0]","189545","281639","282639","NA","231450","NA","NA","NA","NA","NA","2782","55562","56209","72475","56209","147602","2741","NA","164747","285273","281636","38521","2740","302679","BTA (Zapotec RC script)","0","0","0","no","285279","no","1920","[711, 662, 478, 277, 237, 204, 134, 107]","[759, 714, 551, 355, 306, 244, 150, 99]"
# 2018-07-11 11:07:40.908000> starting trial 3 with item-cond 8-e
# 2018-07-11 11:07:44.142000> starting sentence audio 3 with item-cond 8-e
# 2018-07-11 11:07:44.154000 : Third practice trial at time 307587
"16094","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","304363","relative","undefined","undefined","0","3","3","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","3","3","0","0","3","e","8","undefined","668","759","yes","07/11/18 11:02:36","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[307570, 307575, 307787, 308019, 308222, 308424, 308690, 308926, 309167, 309389, 309626, 309849, 310052, 310255, 310453, 310663, 310867, 311105, 311343, 311575, 311801, 312043, 312264, 312486, 312691, 312896, 313102, 313312, 313533, 313771, 314015, 314244, 314509, 314728, 314947, 315251, 315477, 315753, 316002, 316247, 316471, 316700, 316928, 317134, 317341, 317555, 317797, 318027, 318274, 318609, 318893, 319129, 319355, 319616, 319853, 320108, 320432, 320666, 320901, 321150, 321373, 321590, 321801, 322011, 322221, 322443, 322677, 322912, 323183, 323422, 323656]","0","NA","no","serif","no","18","no","white","no","no","1080","8","8","legacy","3","3","0","C:/Users/z.lab2/Desktop/Final/subject-245.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1717, 530)","flower","yes","no","no","0,0","0","1","1","NA","35736","35736","NA","2","legacy","1024","2","44100","-16","NA","experiment","245","odd","droid","[10229.0, 10461.0, 10706.0, 11041.0, 11327.0, 11562.0, 11787.0, 12049.0, 12285.0, 12541.0]","189545","303341","304341","NA","231450","NA","NA","NA","NA","NA","2782","55562","56209","72475","56209","147602","2741","NA","164747","307565","303340","38521","2740","323878","BTA (Zapotec RC script)","0","0","0","no","307570","no","1920","[1076, 1079, 1121, 1293, 1431, 1502, 1552, 1698, 1810, 1832]","[865, 863, 827, 705, 564, 488, 422, 292, 177, 103]"
# 2018-07-11 11:08:02.091000> starting trial 4 with item-cond 22-c
# 2018-07-11 11:08:06.712000> starting sentence audio 4 with item-cond 22-c
# 2018-07-11 11:08:06.723000 : Third practice trial at time 330156
"17628","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","325546","relative","undefined","undefined","0","4","4","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","4","4","0","0","4","c","22","undefined","668","759","yes","07/11/18 11:02:36","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[330139, 330145, 330449, 330725, 330989, 331262, 331517, 331818, 332050, 332283, 332522, 332751, 333033, 333288, 333545, 333804, 334065, 334332, 334598, 334826, 335055, 335283, 335543, 335810, 336089, 336429, 336677, 336907, 337136, 337364, 337593, 337841, 338111, 338379, 338649, 338922, 339157, 339392, 339625, 339859, 340107, 340400, 340827, 341106, 341439, 341677, 341956, 342189, 342480, 342799, 343069, 343372, 343660, 343955, 344223, 344480, 344718, 344998, 345259, 345541, 345819, 346051, 346404, 346631, 346872, 347179, 347457, 347760]","0","NA","no","serif","no","18","no","white","no","no","1080","22","22","legacy","4","4","0","C:/Users/z.lab2/Desktop/Final/subject-245.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1776, 516)","tortilla","yes","no","no","0,0","0","1","1","NA","35736","35736","NA","2","legacy","1024","2","44100","-16","NA","experiment","245","odd","droid","[13819.0, 14087.0, 14343.0, 14581.0, 14861.0, 15122.0, 15404.0, 15682.0, 15914.0]","189545","324524","325524","NA","231450","NA","NA","NA","NA","NA","2782","55562","56209","72475","56209","147602","2741","NA","164747","330134","324520","38521","2740","348000","BTA (Zapotec RC script)","0","0","0","no","330139","no","1920","[1089, 1158, 1222, 1330, 1438, 1563, 1704, 1807, 1838]","[852, 805, 762, 679, 557, 406, 248, 138, 88]"
# 2018-07-11 11:08:26.220000> starting trial 5 with item-cond 20-a
# 2018-07-11 11:08:30.722000> starting sentence audio 5 with item-cond 20-a
# 2018-07-11 11:08:30.734000 : Third practice trial at time 354167
