# 2018-07-11 17:07:49.146000 : Beginning an experiment with subject number 247
# 2018-07-11 17:08:37.712000 : First practice screen shown at time 51506
# 2018-07-11 17:08:53.987000 : Touch tracking instructions at time 67781
# 2018-07-11 17:12:30.785000 : Second practice trial at time 284578
# 2018-07-11 17:13:13.605000 : Third practice trial at time 327399
# 2018-07-11 17:14:26.479000> starting trial 0 with item-cond 2-a
# 2018-07-11 17:14:29.111000> starting sentence audio 0 with item-cond 2-a
# 2018-07-11 17:14:29.120000 : Third practice trial at time 402914
"Mouse_RT","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","context_begins","coordinates","correct","correct_OpeningSplashScreen","count_Abisu","count_BlankScreen","count_ContextScreen","count_Delay","count_ExperimentalTrialLoop","count_FirstScreen","count_FlashPuck","count_FlashPuck_1","count_Instruction01","count_KaoGuahaKuestionMu","count_OpeningSplashScreen","count_Practice","count_PracticeScreenIntro","count_PracticeScreenTracking","count_PracticeTrialSequence","count_SecondTrack","count_SetGlobals","count_Thanks","count_ThirdTrack","count_TouchTrack","count_TrialSequence","count_Welcome","count_experiment","count_logger","current_cond","current_item","cursor_roi","cursor_x","cursor_y","custom_cursor","datetime","delay_Delay","description","disable_garbage_collection","empty_column","enable_escape","experiment_file","experiment_path","fList","first_loop","flush","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","itemno","keyboard_backend","live_row","live_row_ExperimentalTrialLoop","live_row_Practice","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_id","pic_response","play_count","position","puck","pygame_doublebuf","pygame_hwsurface","pygame_window_frame","pygame_window_pos","repeat_cycle","response","response_OpeningSplashScreen","response_Thanks","response_time","response_time_OpeningSplashScreen","response_time_Thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","soundfile","start","subject_nr","subject_parity","synth_backend","tTrajectory","time_Abisu","time_BlankScreen","time_ContextScreen","time_Delay","time_ExperimentalTrialLoop","time_FirstScreen","time_FlashPuck","time_FlashPuck_1","time_Instruction01","time_KaoGuahaKuestionMu","time_OpeningSplashScreen","time_Practice","time_PracticeScreenIntro","time_PracticeScreenTracking","time_PracticeTrialSequence","time_SecondTrack","time_SetGlobals","time_Thanks","time_ThirdTrack","time_TouchTrack","time_TrialSequence","time_Welcome","time_experiment","time_logger","title","total_correct","total_response_time","total_responses","transparent_variables","trial_begins","uniform_coordinates","width","xTrajectory","yTrajectory"
"36156","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","400465","relative","undefined","undefined","0","0","0","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","a","2","undefined","1125","779","yes","07/11/18 17:07:46","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[402899, 402905, 403178, 403406, 403639, 403912, 404171, 404415, 404690, 404920, 405146, 405371, 405609, 405862, 406109, 406378, 406620, 406871, 407100, 407327, 407554, 407781, 408017, 408262, 408527, 408799, 409112, 409340, 409568, 409795, 410022, 410274, 410533, 410799, 411076, 411346, 411575, 411806, 412037, 412277, 412540, 412850, 413122, 413370, 413599, 413833, 414081, 414334, 414596, 414883, 415144, 415419, 415730, 415983, 416227, 416511, 416783, 417063, 417329, 417605, 417863, 418116, 418373, 418694, 418946, 419212, 419488, 419782, 420038, 420267, 420493, 420730, 421010, 421272, 421533, 421808, 422044, 422268, 422502, 422812, 423236, 423497, 423758, 424071, 424322, 424569, 424821, 425120, 425403, 425674, 426020, 426327, 426555, 426798, 427040, 427392, 427657, 427936, 428207, 428437, 428670, 428902, 429134, 429389, 429649, 429918, 430175, 430414, 430716, 431018, 431375, 431660, 431923, 432187, 432420, 432652, 432884, 433116, 433365, 433648, 433915, 434190, 434419, 434648, 434877, 435106, 435363, 435708, 436029, 436293, 436534, 436768, 437016, 437245, 437506, 437774, 438039, 438309, 438540, 438770, 439048]","0","NA","no","serif","no","18","no","white","no","no","1080","2","2","legacy","0","0","0","C:/Users/z.lab2/Desktop/Final/subject-247.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(137, 500)","tortilla","yes","no","no","0,0","0","1","1","NA","30441","30441","NA","2","legacy","1024","2","44100","-16","NA","experiment","247","odd","droid","[10474.0, 18637.0, 19916.0, 20339.0, 20600.0, 20865.0, 21175.0, 21425.0, 21674.0, 21925.0, 22226.0, 22506.0, 22777.0, 23124.0, 24143.0, 27820.0, 28122.0, 28478.0]","364181","399272","400273","NA","398332","NA","NA","NA","NA","NA","3460","50953","51501","67764","51500","284352","3437","NA","327091","402894","399271","33905","3436","439285","BTA (Zapotec RC script)","0","0","0","no","402899","no","1920","[816, 651, 580, 491, 492, 600, 488, 415, 331, 287, 382, 275, 168, 130, 126, 131, 106, 85]","[888, 739, 684, 586, 569, 656, 573, 491, 393, 319, 441, 337, 198, 120, 128, 123, 107, 95]"
# 2018-07-11 17:15:07.202000> starting trial 1 with item-cond 14-e
# 2018-07-11 17:15:11.020000> starting sentence audio 1 with item-cond 14-e
# 2018-07-11 17:15:11.029000 : Third practice trial at time 444823
"21385","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","441020","relative","undefined","undefined","0","1","1","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","1","1","0","0","1","e","14","undefined","1125","779","yes","07/11/18 17:07:46","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[444808, 444813, 445066, 445306, 445540, 445847, 446192, 446515, 446777, 447068, 447301, 447535, 447768, 448008, 448297, 448562, 448891, 449187, 449448, 449684, 449920, 450156, 450396, 450657, 450919, 451180, 451465, 451705, 451944, 452188, 452422, 452669, 452946, 453258, 453585, 453902, 454142, 454414, 454692, 454942, 455223, 455498, 455792, 456054, 456387, 456661, 456952, 457230, 457498, 457813, 458049, 458287, 458614, 458879, 459168, 459437, 459719, 460079, 460340, 460613, 460864, 461115, 461395, 461680, 461955, 462212, 462461, 462743, 462991, 463261, 463547, 463819, 464129, 464365, 464602, 464848, 465085, 465372, 465638, 465919, 466189]","0","NA","no","serif","no","18","no","white","no","no","1080","14","14","legacy","1","1","0","C:/Users/z.lab2/Desktop/Final/subject-247.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","right","0","(1868, 515)","tortilla","yes","no","no","0,0","0","1","1","NA","30441","30441","NA","2","legacy","1024","2","44100","-16","NA","experiment","247","odd","droid","[10418.0, 11248.0, 11583.0, 12424.0, 13481.0, 13809.0, 14074.0, 14914.0, 16059.0, 16874.0]","364181","439996","440996","NA","398332","NA","NA","NA","NA","NA","3460","50953","51501","67764","51500","284352","3437","NA","327091","444803","439992","33905","3436","466427","BTA (Zapotec RC script)","0","0","0","no","444808","no","1920","[1080, 1084, 1216, 1401, 1454, 1585, 1658, 1768, 1808, 1820]","[810, 811, 692, 532, 478, 351, 292, 166, 123, 106]"
# 2018-07-11 17:15:34.231000> starting trial 2 with item-cond 5-d
# 2018-07-11 17:15:36.840000> starting sentence audio 2 with item-cond 5-d
# 2018-07-11 17:15:36.851000 : Third practice trial at time 470644
"29338","undefined","undefined","undefined","undefined","black","no","legacy","legacy","legacy","0","468049","relative","undefined","undefined","0","2","2","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","2","2","0","0","2","d","5","undefined","1125","779","yes","07/11/18 17:07:46","NA","Executes Python code","yes","","yes","bta_beta.osexp","C:/Users/z.lab2/Desktop/Final","[470628, 470633, 470865, 471082, 471301, 471514, 471746, 471995, 472269, 472574, 472856, 473106, 473319, 473535, 473757, 473974, 474195, 474427, 474681, 474921, 475179, 475422, 475638, 475854, 476071, 476288, 476508, 476746, 476989, 477225, 477492, 477704, 477920, 478135, 478351, 478575, 478808, 479076, 479340, 479597, 479819, 480048, 480274, 480488, 480714, 480972, 481268, 481517, 481787, 482008, 482226, 482444, 482710, 482999, 483248, 483564, 483839, 484075, 484321, 484563, 484774, 485019, 485281, 485579, 485830, 486111, 486322, 486557, 486812, 487026, 487299, 487545, 487844, 488128, 488400, 488631, 488878, 489153, 489416, 489677, 489923, 490193, 490448, 490708, 491022, 491262, 491487, 491771, 492060, 492307, 492592, 492863, 493079, 493314, 493532, 493823, 494089, 494373, 494643, 494867, 495100, 495317, 495553, 495847, 496096, 496347, 496632, 496880, 497096, 497310, 497525, 497752, 498001, 498241, 498498, 498724, 498944, 499165, 499385, 499617, 499962]","0","NA","no","serif","no","18","no","white","no","no","1080","5","5","legacy","2","2","0","C:/Users/z.lab2/Desktop/Final/subject-247.csv","legacy","Kafkaesque Koffka","3.2.4","5b2998ae04fe52000ecbb503","left","0","(70, 488)","star","yes","no","no","0,0","0","1","1","NA","30441","30441","NA","2","legacy","1024","2","44100","-16","NA","experiment","247","odd","droid","[16922.0, 17218.0, 17502.0, 17774.0, 18006.0, 18253.0, 18527.0, 18791.0, 19051.0, 19299.0, 19571.0, 19823.0, 20083.0, 20398.0, 21434.0, 21682.0, 22454.0, 22688.0, 23463.0, 24241.0, 24928.0, 25221.0]","364181","467024","468025","NA","398332","NA","NA","NA","NA","NA","3460","50953","51501","67764","51500","284352","3437","NA","327091","470623","467020","33905","3436","500204","BTA (Zapotec RC script)","0","0","0","no","470628","no","1920","[933, 931, 891, 823, 771, 712, 664, 600, 510, 453, 555, 510, 418, 351, 236, 198, 191, 140, 136, 115, 135, 97]","[950, 928, 896, 809, 747, 677, 629, 567, 477, 426, 503, 453, 381, 301, 183, 132, 142, 117, 109, 114, 114, 103]"
# 2018-07-11 17:16:08.198000> starting trial 3 with item-cond 8-g
