# 2018-07-11 11:18:52.008000 : Beginning an experiment with subject number 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:19:54.284000 : First practice screen shown at time 64477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:20:10.594000 : Touch tracking instructions at time 80787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:21:02.451000 : Second practice trial at time 132644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:21:25.944000 : Third practice trial at time 156137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:22:26.568000> starting trial 0 with item-cond 19-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:22:29.208000> starting sentence audio 0 with item-cond 19-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:22:29.220000 : Third practice trial at time 219413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse_RT,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,context_begins,coordinates,correct,correct_OpeningSplashScreen,count_Abisu,count_BlankScreen,count_ContextScreen,count_Delay,count_ExperimentalTrialLoop,count_FirstScreen,count_FlashPuck,count_FlashPuck_1,count_Instruction01,count_KaoGuahaKuestionMu,count_OpeningSplashScreen,count_Practice,count_PracticeScreenIntro,count_PracticeScreenTracking,count_PracticeTrialSequence,count_SecondTrack,count_SetGlobals,count_Thanks,count_ThirdTrack,count_TouchTrack,count_TrialSequence,count_Welcome,count_experiment,count_logger,current_cond,current_item,cursor_roi,cursor_x,cursor_y,custom_cursor,datetime,delay_Delay,description,disable_garbage_collection,empty_column,enable_escape,experiment_file,experiment_path,fList,first_loop,flush,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,item,itemno,keyboard_backend,live_row,live_row_ExperimentalTrialLoop,live_row_Practice,logfile,mouse_backend,opensesame_codename,opensesame_version,osf_id,pic_response,play_count,position,puck,pygame_doublebuf,pygame_hwsurface,pygame_window_frame,pygame_window_pos,repeat_cycle,response,response_OpeningSplashScreen,response_Thanks,response_time,response_time_OpeningSplashScreen,response_time_Thanks,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,soundfile,start,subject_nr,subject_parity,synth_backend,tTrajectory,time_Abisu,time_BlankScreen,time_ContextScreen,time_Delay,time_ExperimentalTrialLoop,time_FirstScreen,time_FlashPuck,time_FlashPuck_1,time_Instruction01,time_KaoGuahaKuestionMu,time_OpeningSplashScreen,time_Practice,time_PracticeScreenIntro,time_PracticeScreenTracking,time_PracticeTrialSequence,time_SecondTrack,time_SetGlobals,time_Thanks,time_ThirdTrack,time_TouchTrack,time_TrialSequence,time_Welcome,time_experiment,time_logger,title,total_correct,total_response_time,total_responses,transparent_variables,trial_begins,uniform_coordinates,width,xTrajectory,yTrajectory
16877,undefined,undefined,undefined,undefined,black,no,legacy,legacy,legacy,0,216774,relative,undefined,undefined,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g,19,undefined,1381,825,yes,7/11/2018 11:18,NA,Executes Python code,yes,,yes,bta_beta.osexp,C:/Users/z.lab1/Desktop/Final,"[219396, 219401, 219632, 219849, 220062, 220281, 220526, 220776, 221023, 221275, 221497, 221710, 221924, 222138, 222356, 222589, 222837, 223081, 223318, 223563, 223776, 223990, 224202, 224415, 224635, 224875, 225121, 225365, 225614, 225846, 226060, 226275, 226492, 226708, 226935, 227186, 227434, 227687, 227935, 228154, 228370, 228589, 228809, 229035, 229282, 229538, 229792, 230051, 230275, 230495, 230720, 230941, 231176, 231430, 231690, 231952, 232207, 232427, 232648, 232869, 233092, 233325, 233578, 233837, 234099, 234348, 234571, 234790, 235025, 235247, 235486, 235739, 235996, 236268]",0,NA,no,serif,no,18,no,white,no,no,1080,19,19,legacy,0,0,0,C:/Users/z.lab1/Desktop/Final/subject-148.csv,legacy,Kafkaesque Koffka,3.2.4,5b2998ae04fe52000ecbb503,right,0,"(1810, 423)",leaf,yes,no,no,"0,0",0,1,1,NA,44272,44272,NA,2,legacy,1024,2,44100,-16,NA,experiment,148,even,droid,"[10658.0, 10882.0, 11102.0, 11327.0, 11548.0, 11782.0, 12037.0, 12296.0, 12558.0, 12814.0, 13034.0, 13254.0, 13475.0, 13698.0, 13931.0, 14185.0, 14443.0, 14705.0, 14954.0]",179532,215762,216762,NA,215271,NA,NA,NA,NA,NA,2656,63958,64472,80754,64472,132428,2635,NA,155892,219391,215761,46932,2634,236484,BTA (Zapotec RC script),0,0,0,no,219396,no,1920,"[1039, 1073, 1100, 1138, 1202, 1274, 1371, 1456, 1524, 1575, 1620, 1670, 1720, 1758, 1791, 1812, 1819, 1826, 1829]","[890, 868, 847, 819, 766, 713, 639, 566, 506, 454, 406, 351, 293, 239, 183, 144, 115, 99, 92]"
# 2018-07-11 11:22:47.823000> starting trial 1 with item-cond 10-f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:22:51.778000> starting sentence audio 1 with item-cond 10-f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:22:51.788000 : Third practice trial at time 241982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15801,undefined,undefined,undefined,undefined,black,no,legacy,legacy,legacy,0,238026,relative,undefined,undefined,0,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,1,f,10,undefined,1381,825,yes,7/11/2018 11:18,NA,Executes Python code,yes,,yes,bta_beta.osexp,C:/Users/z.lab1/Desktop/Final,"[241966, 241972, 242200, 242415, 242630, 242860, 243108, 243357, 243603, 243854, 244087, 244307, 244527, 244746, 244965, 245201, 245443, 245693, 245939, 246192, 246413, 246632, 246851, 247070, 247295, 247543, 247785, 248030, 248290, 248515, 248736, 248957, 249178, 249407, 249658, 249908, 250148, 250400, 250614, 250841, 251067, 251290, 251520, 251774, 252031, 252291, 252548, 252769, 252992, 253214, 253436, 253670, 253925, 254185, 254446, 254705, 254927, 255151, 255376, 255599, 255844, 256102, 256363, 256629, 256856, 257079, 257302, 257525, 257762]",0,NA,no,serif,no,18,no,white,no,no,1080,10,10,legacy,1,1,0,C:/Users/z.lab1/Desktop/Final/subject-148.csv,legacy,Kafkaesque Koffka,3.2.4,5b2998ae04fe52000ecbb503,right,0,"(1796, 446)",tortilla,yes,no,no,"0,0",0,1,1,NA,44272,44272,NA,2,legacy,1024,2,44100,-16,NA,experiment,148,even,droid,"[9103.0, 9326.0, 9558.0, 9811.0, 10067.0, 10328.0, 10584.0, 10805.0, 11029.0, 11250.0, 11472.0, 11706.0, 11961.0, 12221.0, 12483.0, 12741.0, 12964.0, 13188.0, 13412.0, 13636.0, 13880.0]",179532,237017,238017,NA,215271,NA,NA,NA,NA,NA,2656,63958,64472,80754,64472,132428,2635,NA,155892,241961,237016,46932,2634,258004,BTA (Zapotec RC script),0,0,0,no,241966,no,1920,"[969, 973, 988, 1037, 1104, 1178, 1248, 1312, 1372, 1440, 1514, 1590, 1662, 1733, 1787, 1810, 1814, 1813, 1814, 1816, 1819]","[898, 894, 881, 852, 809, 760, 712, 668, 624, 575, 524, 465, 393, 308, 222, 158, 133, 117, 111, 107, 105]"
# 2018-07-11 11:23:09.346000> starting trial 2 with item-cond 21-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:23:12.117000> starting sentence audio 2 with item-cond 21-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:23:12.128000 : Third practice trial at time 262321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12955,undefined,undefined,undefined,undefined,black,no,legacy,legacy,legacy,0,259549,relative,undefined,undefined,0,2,2,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,2,0,0,2,a,21,undefined,1381,825,yes,7/11/2018 11:18,NA,Executes Python code,yes,,yes,bta_beta.osexp,C:/Users/z.lab1/Desktop/Final,"[262305, 262311, 262543, 262762, 262988, 263224, 263461, 263704, 263954, 264177, 264392, 264607, 264822, 265043, 265290, 265538, 265786, 266035, 266280, 266494, 266708, 266921, 267135, 267356, 267603, 267853, 268091, 268332, 268571, 268790, 269010, 269228, 269444, 269690, 269945, 270203, 270466, 270724, 270946, 271169, 271394, 271619, 271857, 272112, 272372, 272627, 272889, 273112, 273335, 273560, 273786, 274027, 274289, 274543, 274807, 275035, 275256]",0,NA,no,serif,no,18,no,white,no,no,1080,21,21,legacy,2,2,0,C:/Users/z.lab1/Desktop/Final/subject-148.csv,legacy,Kafkaesque Koffka,3.2.4,5b2998ae04fe52000ecbb503,left,0,"(93, 487)",star,yes,no,no,"0,0",0,1,1,NA,44272,44272,NA,2,legacy,1024,2,44100,-16,NA,experiment,148,even,droid,"[8163.0, 8421.0, 8644.0, 8867.0, 9091.0, 9316.0, 9554.0, 9811.0, 10069.0, 10324.0, 10586.0, 10809.0, 11033.0, 11257.0, 11483.0, 11725.0]",179532,258540,259540,NA,215271,NA,NA,NA,NA,NA,2656,63958,64472,80754,64472,132428,2635,NA,155892,262300,258539,46932,2634,275472,BTA (Zapotec RC script),0,0,0,no,262305,no,1920,"[850, 768, 740, 709, 634, 563, 490, 420, 356, 290, 212, 164, 127, 109, 105, 102]","[842, 787, 766, 740, 672, 595, 522, 454, 389, 326, 250, 191, 143, 118, 102, 96]"
# 2018-07-11 11:23:26.844000> starting trial 3 with item-cond 13-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
