# 2018-07-11 11:06:08.202000 : Beginning an experiment with subject number 147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:06:34.888000 : First practice screen shown at time 27994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:06:51.216000 : Touch tracking instructions at time 44322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:07:46.469000 : Second practice trial at time 99575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:08:11.796000 : Third practice trial at time 124902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:09:14.978000> starting trial 0 with item-cond 1-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:09:17.341000> starting sentence audio 0 with item-cond 1-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:09:17.353000 : Third practice trial at time 190459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse_RT,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,context_begins,coordinates,correct,correct_OpeningSplashScreen,count_Abisu,count_BlankScreen,count_ContextScreen,count_Delay,count_ExperimentalTrialLoop,count_FirstScreen,count_FlashPuck,count_FlashPuck_1,count_Instruction01,count_KaoGuahaKuestionMu,count_OpeningSplashScreen,count_Practice,count_PracticeScreenIntro,count_PracticeScreenTracking,count_PracticeTrialSequence,count_SecondTrack,count_SetGlobals,count_Thanks,count_ThirdTrack,count_TouchTrack,count_TrialSequence,count_Welcome,count_experiment,count_logger,current_cond,current_item,cursor_roi,cursor_x,cursor_y,custom_cursor,datetime,delay_Delay,description,disable_garbage_collection,empty_column,enable_escape,experiment_file,experiment_path,fList,first_loop,flush,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,item,itemno,keyboard_backend,live_row,live_row_ExperimentalTrialLoop,live_row_Practice,logfile,mouse_backend,opensesame_codename,opensesame_version,osf_id,pic_response,play_count,position,puck,pygame_doublebuf,pygame_hwsurface,pygame_window_frame,pygame_window_pos,repeat_cycle,response,response_OpeningSplashScreen,response_Thanks,response_time,response_time_OpeningSplashScreen,response_time_Thanks,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,soundfile,start,subject_nr,subject_parity,synth_backend,tTrajectory,time_Abisu,time_BlankScreen,time_ContextScreen,time_Delay,time_ExperimentalTrialLoop,time_FirstScreen,time_FlashPuck,time_FlashPuck_1,time_Instruction01,time_KaoGuahaKuestionMu,time_OpeningSplashScreen,time_Practice,time_PracticeScreenIntro,time_PracticeScreenTracking,time_PracticeTrialSequence,time_SecondTrack,time_SetGlobals,time_Thanks,time_ThirdTrack,time_TouchTrack,time_TrialSequence,time_Welcome,time_experiment,time_logger,title,total_correct,total_response_time,total_responses,transparent_variables,trial_begins,uniform_coordinates,width,xTrajectory,yTrajectory
18680,undefined,undefined,undefined,undefined,black,no,legacy,legacy,legacy,0,188094,relative,undefined,undefined,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,1,undefined,1530,666,yes,7/11/2018 11:06,NA,Executes Python code,yes,,yes,bta_beta.osexp,C:/Users/z.lab1/Desktop/Final,"[190442, 190447, 190677, 190890, 191103, 191320, 191558, 191801, 192050, 192298, 192541, 192759, 192972, 193189, 193405, 193630, 193875, 194122, 194366, 194617, 194841, 195056, 195271, 195488, 195705, 195945, 196198, 196449, 196704, 196922, 197139, 197356, 197574, 197799, 198038, 198292, 198546, 198795, 199008, 199222, 199435, 199648, 199875, 200132, 200392, 200653, 200903, 201121, 201341, 201562, 201783, 202014, 202257, 202514, 202775, 203024, 203245, 203469, 203690, 203911, 204151, 204412, 204669, 204932, 205149, 205366, 205584, 205804, 206036, 206278, 206526, 206794, 207015, 207231, 207448, 207664, 207895, 208153, 208408, 208670, 208892, 209117]",0,NA,no,serif,no,18,no,white,no,no,1080,1,1,legacy,0,0,0,C:/Users/z.lab1/Desktop/Final/subject-147.csv,legacy,Kafkaesque Koffka,3.2.4,5b2998ae04fe52000ecbb503,right,0,"(1825, 490)",star,yes,no,no,"0,0",0,1,1,NA,8613,8613,NA,2,legacy,1024,2,44100,-16,NA,experiment,147,odd,droid,"[9692.0, 9953.0, 10214.0, 10464.0, 10682.0, 10901.0, 11122.0, 11343.0, 11575.0, 11817.0, 12075.0, 12335.0, 12585.0, 12806.0, 13029.0, 13251.0, 13471.0]",152150,187084,188084,NA,186214,NA,NA,NA,NA,NA,1756,27405,27989,44280,27989,99365,1737,NA,124665,190437,187083,10374,1735,209335,BTA (Zapotec RC script),0,0,0,no,190442,no,1920,"[1095, 1157, 1206, 1261, 1342, 1434, 1519, 1581, 1634, 1682, 1732, 1771, 1803, 1817, 1829, 1832, 1831]","[880, 843, 816, 781, 706, 609, 516, 451, 391, 334, 261, 190, 136, 106, 87, 81, 81]"
# 2018-07-11 11:09:37.817000> starting trial 1 with item-cond 6-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:09:40.442000> starting sentence audio 1 with item-cond 6-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:09:40.453000 : Third practice trial at time 213559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13209,undefined,undefined,undefined,undefined,black,no,legacy,legacy,legacy,0,210941,relative,undefined,undefined,0,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,1,a,6,undefined,1530,666,yes,7/11/2018 11:06,NA,Executes Python code,yes,,yes,bta_beta.osexp,C:/Users/z.lab1/Desktop/Final,"[213542, 213548, 213767, 213973, 214178, 214397, 214630, 214859, 215089, 215328, 215556, 215761, 215966, 216171, 216376, 216591, 216820, 217055, 217292, 217515, 217745, 217953, 218161, 218366, 218573, 218787, 219024, 219260, 219496, 219732, 219974, 220183, 220395, 220607, 220819, 221043, 221286, 221533, 221776, 222020, 222233, 222446, 222660, 222872, 223094, 223336, 223586, 223829, 224080, 224289, 224503, 224717, 224931, 225160, 225406, 225650, 225897, 226115, 226323, 226531, 226747]",0,NA,no,serif,no,18,no,white,no,no,1080,6,6,legacy,1,1,0,C:/Users/z.lab1/Desktop/Final/subject-147.csv,legacy,Kafkaesque Koffka,3.2.4,5b2998ae04fe52000ecbb503,right,0,"(1826, 478)",tortilla,yes,no,no,"0,0",0,1,1,NA,8613,8613,NA,2,legacy,1024,2,44100,-16,NA,experiment,147,odd,droid,"[7279.0, 7504.0, 7746.0, 7993.0, 8237.0, 8481.0, 8693.0, 8906.0, 9120.0, 9332.0, 9555.0, 9796.0, 10046.0, 10289.0, 10541.0, 10750.0, 10964.0, 11178.0]",152150,209922,210923,NA,186214,NA,NA,NA,NA,NA,1756,27405,27989,44280,27989,99365,1737,NA,124665,213537,209921,10374,1735,226953,BTA (Zapotec RC script),0,0,0,no,213542,no,1920,"[1077, 1127, 1192, 1255, 1328, 1406, 1475, 1531, 1585, 1639, 1682, 1721, 1749, 1774, 1800, 1815, 1830, 1837]","[917, 901, 871, 840, 792, 719, 648, 595, 545, 482, 423, 364, 298, 223, 160, 124, 94, 76]"
# 2018-07-11 11:09:55.476000> starting trial 2 with item-cond 9-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:09:58.112000> starting sentence audio 2 with item-cond 9-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2018-07-11 11:09:58.121000 : Third practice trial at time 231227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16312,undefined,undefined,undefined,undefined,black,no,legacy,legacy,legacy,0,228599,relative,undefined,undefined,0,2,2,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,2,0,0,2,d,9,undefined,1530,666,yes,7/11/2018 11:06,NA,Executes Python code,yes,,yes,bta_beta.osexp,C:/Users/z.lab1/Desktop/Final,"[231212, 231218, 231445, 231660, 231875, 232110, 232346, 232593, 232839, 233089, 233306, 233515, 233725, 233936, 234153, 234397, 234642, 234886, 235128, 235361, 235574, 235788, 236002, 236215, 236433, 236669, 236918, 237163, 237416, 237638, 237854, 238068, 238282, 238505, 238742, 238994, 239245, 239495, 239715, 239936, 240156, 240376, 240605, 240848, 241098, 241341, 241588, 241808, 242023, 242238, 242461, 242696, 242949, 243206, 243460, 243721, 243944, 244167, 244389, 244612, 244845, 245099, 245358, 245611, 245877, 246098, 246320, 246538, 246758, 246995, 247247, 247519]",0,NA,no,serif,no,18,no,white,no,no,1080,9,9,legacy,2,2,0,C:/Users/z.lab1/Desktop/Final/subject-147.csv,legacy,Kafkaesque Koffka,3.2.4,5b2998ae04fe52000ecbb503,left,0,"(28, 494)",star,yes,no,no,"0,0",0,1,1,NA,8613,8613,NA,2,legacy,1024,2,44100,-16,NA,experiment,147,odd,droid,"[11487.0, 11739.0, 11996.0, 12252.0, 12512.0, 12735.0, 12958.0, 13180.0, 13404.0, 13637.0, 13890.0, 14148.0, 14403.0, 14667.0]",152150,227581,228581,NA,186214,NA,NA,NA,NA,NA,1756,27405,27989,44280,27989,99365,1737,NA,124665,231207,227580,10374,1735,247746,BTA (Zapotec RC script),0,0,0,no,231212,no,1920,"[790, 720, 639, 535, 439, 349, 297, 240, 174, 130, 113, 115, 108, 108]","[863, 807, 743, 649, 567, 487, 427, 382, 309, 239, 178, 139, 109, 97]"
# 2018-07-11 11:10:16.231000> starting trial 3 with item-cond 19-f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
