"","Item","Subject","Sequence","Condition","Response","tTrajectory","Left_parse","Right_parse","SRC","Parse","Animacy","Classifier","SubClit","OvOb","File","Duration","Initiation","TouchRT","zTRT","Condition2","Label"
"1","1","C:/Users/z.lab1/Desktop/Final/subject-140.csv",7,"e","left","[11903.0, 12158.0, 12380.0, 12603.0, 12825.0, 13046.0]","ORC","SRC","right","ORC","Animal","Yes","Yes","Yes","1e.wav",6275.53287981859,11903,5627.46712018141,1.14543826959498,"e","DP+Cl"
"2","1","C:/Users/z.lab1/Desktop/Final/subject-150.csv",14,"f","right","[15546.0, 15765.0, 15985.0, 16211.0, 16466.0, 16724.0, 16981.0]","ORC","SRC","right","SRC","Animal","Yes","Yes","No","1f.wav",5798.66213151928,15546,9747.33786848072,1.45815028448552,"f","Cl"
"3","1","C:/Users/z.lab1/Desktop/Final/subject-124.csv",14,"e","right","[7283.0, 7504.0, 7752.0, 7998.0, 8251.0, 8515.0, 8763.0]","ORC","SRC","right","SRC","Animal","Yes","Yes","Yes","1e.wav",6275.53287981859,7283,1007.46712018141,-1.00590921549104,"e","DP+Cl"
"4","1","C:/Users/z.lab2/Desktop/Final/subject-219.csv",3,"d","left","[8748.0, 8988.0, 9226.0, 11739.0, 12000.0, 12262.0, 12523.0]","ORC","SRC","right","ORC","Animal","No","No","No","1d.wav",5237.61904761905,8748,3510.38095238095,-0.226389002277537,"d","DP"
"5","1","C:/Users/z.lab2/Desktop/Final/subject-238.csv",14,"g","left","[14960.0, 37383.0, 37761.0, 40056.0, 40314.0, 41676.0, 41998.0, 50795.0]","ORC","SRC","right","ORC","Animal","Yes","No","Yes","1g.wav",6387.73242630386,14960,8572.26757369614,0.0829173492175505,"g","In"
"6","1","C:/Users/z.lab2/Desktop/Final/subject-208.csv",21,"a","right","[14738.0, 14955.0, 15183.0, 15436.0, 15694.0, 15950.0, 16202.0]","ORC","SRC","right","SRC","Animal","No","Yes","Yes","1a.wav",5524.37641723356,14738,9213.62358276644,1.89976566808581,"a","DP+Cl"
"7","1","C:/Users/z.lab1/Desktop/Final/subject-105.csv",4,"b","right","[12109.0, 12367.0, 13733.0, 13982.0, 14237.0, 14499.0, 14752.0, 14996.0, 15217.0, 15438.0, 15660.0, 15882.0, 16129.0, 16391.0, 16652.0]","ORC","SRC","right","SRC","Animal","No","Yes","No","1b.wav",4760.72562358277,12109,7348.27437641723,1.83836594060397,"b","Cl"
"8","1","C:/Users/z.lab2/Desktop/Final/subject-222.csv",16,"g","right","[5294.0, 5541.0, 5790.0, 6032.0]","ORC","SRC","right","SRC","Animal","Yes","No","Yes","1g.wav",6387.73242630386,5294,-1093.73242630386,-0.666897796030526,"g","In"
"9","1","C:/Users/z.lab1/Desktop/Final/subject-104.csv",8,"a","right","[6959.0, 7178.0, 7396.0, 7612.0, 7841.0, 8095.0, 8352.0, 8616.0, 8875.0, 9099.0, 9318.0]","ORC","SRC","right","SRC","Animal","No","Yes","Yes","1a.wav",5524.37641723356,6959,1434.62358276644,-0.50051888295824,"a","DP+Cl"
"10","1","C:/Users/z.lab2/Desktop/Final/subject-241.csv",20,"b","left","[7802.0, 8028.0, 8303.0, 8559.0, 8846.0, 9137.0, 9405.0, 9659.0, 10017.0, 10306.0, 10584.0, 10841.0, 11106.0, 11405.0]","ORC","SRC","right","ORC","Animal","No","Yes","No","1b.wav",4760.72562358277,7802,3041.27437641723,-0.297920971484308,"b","Cl"
"11","1","C:/Users/z.lab1/Desktop/Final/subject-150.csv",14,"f","right","[15546.0, 15765.0, 15985.0, 16211.0, 16466.0, 16724.0, 16981.0]","ORC","SRC","right","SRC","Animal","Yes","Yes","No","1f.wav",5798.66213151928,15546,9747.33786848072,1.45815028448552,"f","Cl"
"12","1","C:/Users/z.lab1/Desktop/Final/subject-119.csv",20,"h","right","[17815.0, 18056.0]","ORC","SRC","right","SRC","Animal","Yes","No","No","1h.wav",5742.53968253968,17815,12072.4603174603,2.74217742851867,"h","DP"
"13","1","C:/Users/z.lab2/Desktop/Final/subject-230.csv",13,"g","left","[24566.0, 24807.0, 25065.0, 25294.0]","ORC","SRC","right","ORC","Animal","Yes","No","Yes","1g.wav",6387.73242630386,24566,18178.2675736961,3.73612584835115,"g","In"
"14","1","C:/Users/z.lab2/Desktop/Final/subject-214.csv",20,"g","right","[10609.0, 10894.0, 11155.0, 11503.0, 14316.0, 14616.0, 18443.0, 18701.0, 18937.0, 23554.0, 23871.0, 26095.0, 26351.0, 26601.0]","ORC","SRC","right","SRC","Animal","Yes","No","Yes","1g.wav",6387.73242630386,10609,4221.26757369614,0.888834575739172,"g","In"
"15","1","C:/Users/z.lab1/Desktop/Final/subject-135.csv",5,"h","left","[26854.0, 27107.0, 27330.0, 32394.0, 32646.0, 32897.0, 33151.0, 33405.0]","ORC","SRC","right","ORC","Animal","Yes","No","No","1h.wav",5742.53968253968,26854,21111.4603174603,2.95410256597874,"h","DP"
"16","1","C:/Users/z.lab2/Desktop/Final/subject-243.csv",14,"d","left","[15899.0, 16158.0, 17060.0, 17314.0, 17541.0, 17829.0, 18100.0, 18359.0, 18631.0]","ORC","SRC","right","ORC","Animal","No","No","No","1d.wav",5237.61904761905,15899,10661.380952381,2.41924919600846,"d","DP"
"17","1","C:/Users/z.lab1/Desktop/Final/subject-107.csv",18,"d","right","[12779.0, 12998.0, 13220.0, 14667.0, 14885.0]","ORC","SRC","right","SRC","Animal","No","No","No","1d.wav",5237.61904761905,12779,7541.38095238095,0.279346774661253,"d","DP"
"18","1","C:/Users/z.lab1/Desktop/Final/subject-112.csv",18,"a","left","[13352.0, 13570.0, 13800.0, 14044.0, 14304.0, 14561.0, 14810.0, 15034.0, 15253.0]","ORC","SRC","right","ORC","Animal","No","Yes","Yes","1a.wav",5524.37641723356,13352,7827.62358276644,2.47274466447586,"a","DP+Cl"
"19","1","C:/Users/z.lab1/Desktop/Final/subject-142.csv",14,"g","right","[7355.0, 7614.0, 7873.0, 8124.0, 8344.0, 8565.0, 8782.0, 9002.0, 9236.0, 9491.0, 9743.0, 9999.0, 10266.0, 10491.0, 10713.0]","ORC","SRC","right","SRC","Animal","Yes","No","Yes","1g.wav",6387.73242630386,7355,967.267573696145,-0.477300039189873,"g","In"
"20","1","C:/Users/z.lab1/Desktop/Final/subject-144.csv",2,"e","left","[7368.0, 7600.0, 7851.0, 8109.0, 8366.0]","ORC","SRC","right","ORC","Animal","Yes","Yes","Yes","1e.wav",6275.53287981859,7368,1092.46712018141,-0.886426140784985,"e","DP+Cl"
